Citation Key/ Filename;GENERAL;;RQ1-DEFINITION;RQ2-DIGITAL TWIN ADVANTAGES;RQ2-APPLICATION DOMAINS;RQ2-APPLICATION SCENARIO;RQ3-PHYSICAL TWINS;;;RQ3-COMMUNICATION MANAGEMENT;;;RQ3-VIRTUAL TWIN AND APPLICATION;;;;RQ4-CHALLENGES & FUTURE RESEARCH;
Eckhart2018;HIGH;"In this work, we present a framework that allows users
to create and execute digital twins, closely matching their physical
counterparts.We focus on a novel approach to automatically generate
the virtual environment from specification, taking advantage of
engineering data exchange formats";"The term ""Digital Twin"" was coined by Shafto et al. [29] and describes
the use of holistic simulations to virtually mirror a physical
system [26].";"On top of this virtual representation, multiple security
features can be established. For example, security and safety rules
stated as part of the specification can be automatically monitored
on the basis of digital twins";Industry;Intrusion Detection, System Testing & Simulation, Detecting Misconfigurations, Penetration Testing;N/A;CPS;HMIW, PLCs, Motor etc. ;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;CPS -Twinnign, Mininet, MatIEC;Simulation, Analss;AML files (domain knowledge + engineer knowledge) manually;YES;"As future work, we want to focus on the replication mode of
the framework, i.e., mirroring the state of physical systems to their
corresponding digital twins. To validate our approach, we plan to
launch a MITM attack in the real environment for the purpose of
detecting deviations in the behavior of digital twins to spot attacks
as early as possible";Current limitations of the prototype include a limited support of data types in PLC code (data types other than Boolean and integer are not available) and Modbus function codes. There are also some steps, which have been triggered manually, but could be integrated in a complete automation pipeline. For example, the translation of vendor-specific function blocks
Eckhart2018a;HIGH;"In this paper, we propose a
novel state replication approach that first identifies stimuli based
on the system’s specification and then replicates them in a virtual
environment.";"of digital twins1, i.e., virtual replicas of the network and the logic
layer of physical devices, closely matching the physical devices’
behavior on these layers";"digital twins can run in parallel to a CPS, allowing to
perform a security and safety analysis during operation without
the risk of disrupting live systems.";Industry;security and safety analysis, Intrusion Detection based on State;N/A;ICS;states of machines, network traffic, system logs, sensor measurements;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;CPS Twinning, CPS State Replication, Mininet;Replication, FSM and behavioural models ;AML files (domain knowledge + engineer knowledge) manually;YES;"Furthermore, as our
approach focuses only on states of software programs, support for
replicating stimuli that manifest themselves in the form of analog
signals is lacking. Thus, analog values that constitute stimuli must
be converted to a binary representation, before they can be replicated
in the virtual environment. However, considering that CPSs
typically consist of analog-intensive components, further research
in this area is worth pursuing.";"While the results of this work are promising, there are still some
challenges to be addressed to improve the state replication approach.
For example, depending on the nature of the device or caused by
inaccuracies of the specification, inferring the device’s characteristics
based on the role definition may be infeasible. In this case,
users are required to either add details about stimuli or explicitly
label inputs as stimuli. Another possible option, yet more complex
to implement, may be to develop a code analyzer that automatically
inspects all programs, which are referenced in a CPS’s specification,
for the purpose of stimuli identification. Furthermore, as our
approach focuses only on states of software programs, support for
replicating stimuli that manifest themselves in the form of analog
signals is lacking. Thus, analog values that constitute stimuli must
be converted to a binary representation, before they can be replicated
in the virtual environment"
Eckhart2018ab;HIGH;N/A;"While the
term “digital twin” typically refers to a
data-driven or physical model of a
system, we use it to describe an emulated
or simulated device that may be
connected to an emulated network. In
the context of this research, digital
twins reflect the correct behaviour of
their physical counterparts, as specified
by experts from the industrial automation
domain.";"As a result, a holistic security solution
that not only protects the CPS
during operation, but rather throughout
its entire lifecycle is highly desirable.";Industry;"More specifically, such a security solution
should aim to (i) support the identification
of security weaknesses in the
specification, (ii) allow the execution of
security and system tests without disrupting
physical processes, (iii) monitor
the physical process under control, and
(iv) detect intrusions and other abnormal
conditions of the CPS.";N/A;CPS;HMIW, PLCs, Motor etc. ;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;CPS-Twinning;Simulation, Analss;AML files (domain knowledge + engineer knowledge) manually;YES;"For future work, we intend to focus on
the simulation aspects of digital twins
by developing a feature that would
allow users to recover historical states
of digital twins and replay their execution.
In this way, certain scenarios can
be repeated for further analysis, e.g., to
understand the propagation of malware";N/A
Eckhart2019;HIGH;"In this chapter, we will discuss how digital
twins can accompany their physical counterparts throughout the entire lifecycle and
thereby strengthen the security of CPSs.";"""virtual replica of a system that accompanies its physical counterpart
during phases of its lifecycle, consumes real-time and historical data if required, and
has sufficient fidelity to allow the implementation of the desired security measure.""";"Digital twins refer to virtual replicas of physical objects that, inter alia,
enable to monitor, visualize, and predict states of cyber-physical systems (CPSs).";Industry;Secure Defisn, Intrusion Detection, Secure Commissioning, Detecting Harware & Software Misconfigurations, Security Testing, Privacy, System Testing & Training, Security & Legal Compliance;Cloud;CPS environment, collobritations, functions, modules objectives, tasks;data availabe (everythng);DIGITAL_PHYSICAL, DIGITAL_EXPERT;DIGITAL_TWIN;OPC UA , Aml;CPS Twinning, Mininet;Repolication, Simulation, Analysis;AML files (domain knowledge + engineer knowledge) manually;NO;"In the future,more research is
definitely required to investigate the practicality of the concept for security-enhancing
use cases.";However, as, for example, indicated, developing IPSs for CPSs represents a challenging task, due to the fact that false alarms (e.g., dropped packets of benign control commands) may raise safety concerns. Overcoming this challenge seems to be also relevant for digital-twin research in general, since data flows from a digital twin (back) to its physical counterpart can serve as a response mechanism.
Eckhart2019ab;MEDIUM;"This survey article reviews the state of the art concerning quantitative security risk assessments
for ICSs and identifies promising opportunities for future research and associated challenges.";"digital twin virtually replicates its physical counterpart, such as an
ICS, and can be employed for security-improving use cases";"Addressing
this issue requires innovative methods concerning the development of simulation platforms that
lend themselves well for assessing security risks";Industry;Digital Twins to Support Quantitative Security Risk Assessments, Inutrsion Detection;N/A;CPS environment, collobritations, functions, modules objectives, tasks;data availabe (everythng);DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Simulation, Replication;engineering related data (specification files);NO;N/A;N/A
Eckhart2019abcde;HIGH;"This paper reports our work in progress to develop a
cyber situational awareness framework based on digital twins
that provides a profound, holistic, and current view on the
cyber situation that CPSs are in.";"digital twin refers to a simulated or emulated
device, such as a programmable logic controller (PLC), that is
connected to an emulated network";"Although the digital-twin concept gives rise to a
multitude of security-enhancing use cases [9], we put special
emphasis on the development of intrusion detection systems
(IDSs)";CPS;Cyber Situational Awareness Framework based on DTs;N/A;CPS;sensor data, traffic, system logs, AML;DIGITAL_PHYSICAL, DIGITAL_EXPERT;DIGITAL_TWIN;AML;CPS-Twinning,Mininet-WiFi;Simulation, Replication, Monitoring, Visualization;AML files (domain knowledge + engineer knowledge) manually;YES;"Further
development effort is required to improve the visualization
of digital twins and to bring the record-and-replay feature
to completion. Ideally, in the future, the introduced concept
could be taken even one step further: instead of providing only
decision support, the digital-twin framework could automate
the detection and mitigation of vulnerabilities, similar to a
cyber reasoning system.";   
Empl2021;LOW;"this paper conceptualizes
a security analytics service used as a security add-on
to these reference architectures. Thus, this paper conceptualizes a
flexible security analytics service that implements security capabilities
with flexible analytical techniques that fit specific SMEs’ needs.";"Concerning the security analytics service’s
security modules, a digital twin represents the link from real-time
data to feasible simulation or forecast scenarios. In this context, the
digital twin is, therefore, regarded as a foresight security module.";The sensor cloud collects and aggregates this data to determine the potential security state with security analytics (e.g., via a digital twin).;Industry 4.0;determine the potential security state with security analytics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;simulations, replications, and analytics;N/A;NO;"In the future, we will work on implementing a prototype of this
security analytics service. The design of a specific implementation
can be structured in several ways.We recommend a design based on
virtual machines, dockerized applications, and specific connectors
for a straightforward adoption and application of the capability
modules. As we admit in the introduction, data is vital to generate
wisdom. By bundling the data sources and types of data (stream
vs batch) required to fulfil a particular capability module (e.g., the
descriptive module takes batch data), analytical techniques can be
instantiated. Thus, each capability module should be represented by
one virtual machine. The virtual machines can be interconnected
with dedicated bridges to accomplish the dependencies between
the capability modules. Each of the virtual machines is running
on Docker to establish containerized and modular applications.
There are many open-source software and tools for security analytics
applications that need to be categorized depending on their
functionality, e.g., Suricata is an intrusion detection tool and is,
therefore, available in the detective module. In this context, the
security analytics repository is considered a collection of dockerized
applications. Besides provisioning dockerized applications, the
security analytics repositories need to yield connectors for each
application to bind multiple applications’ sinks and sources. Additionally,
machine learning models can be shared across the security
analytics repository and integrated into the desired capability module.
Those machine learning models might be integrated into the
predictive module (stream data) and the descriptive module (batch
data). The different analytical techniques can be tagged inside the
security analytics repository (e.g. for detective module) and ranked
by other users. These mechanisms are resulting in transparency as
to which methods are successfully contributing to the cybersecurity";"(Besides the contribution, this paper exhibits two limitations. First,
we do not specify any access control roles to our security analytics
service, as we have only covered a single entity (security expert).
Second, we excluded parts of the incident response. As the response
opportunities to a detected or predicted threat increase with the
complexity of IIoT systems, e.g., with software-defined networks
for the ICS, a holistic sketch of interconnections within the archi-
tectural module is almost impossible.)"
Erol2020;LOW;"In this study, considering the
impressive potential of the Digital Twin technology in the field
of health, qualified studies that will guide future studies are
emphasized.";"The Digital Twin is a digital copy obtained by modeling
the state of a physical system, collecting data through sensors
placed on these systems, and reflecting this data into digital
media. Digital Twins build a bridge between the physical and
digital world by enabling us to understand the past and present
processes and make predictions for the future.";"Digital Twin technology will also help in early and accurate diagnosis
of cancer diseases.";Healthcare;"In the future, in
addition to the health field mentioned in this study, detailed
studies can be carried out on Digital Twin technology from
different perspectives such as aerospace, military, education,
security systems.";N/A;patients, radiology department, Artificial Intelligence-based human biological systems or organs or molecular systems, (physical) processes, people, human body, soldiers;individual and population data, real data;DIGITAL_EXPERT, DIGITAL_PHYSICAL;DIGITAL_SHADOW;N/A;N/A;simulation, monitor;"Digital twins used for this purpose are built on computer-based, or in silico, models
that are fed individual and population data; Semic Health's Digital Body Total has developed the
Digital Twin of Artificial Intelligence-based human biological
systems or organs or molecular systems, based on aggregated
data and medical histories, to help diagnose current medical
conditions and predict possible health problems";NO;"In the future, in
addition to the health field mentioned in this study, detailed
studies can be carried out on Digital Twin technology from
different perspectives such as aerospace, military, education,
security systems. Besides, studies can be conducted for more
specific application areas that have not been done yet in the
field of health.";N/A
Fournaris2019;HIGH;"In this chapter, we explore the
various CPS cybersecurity threats and discuss how adding security as a parameter
at the CPS design phase can provide a well-structured and efficient approach on
providing strong securityCPS foundations.Newtechnologies onCPS security design
are presented and emerging security directions are discussed.";"Digital Twin (Tao et al. 2018)
by representing a digital model that accurately mimics its physical counterpart and
evolves, is continuously updated to reflect changes in the physical world (Maurer
2017) becomes fertile ground for detecting deviations between the physical twin and
its digital counterpart";"This analysis feeds into the relatively modern
concept of a “Digital Twin”: an online, cyber model of the physical processes taking
place in a CPS, which can be used to simulate outcomes at decision points, or monitor
the operation of a CPS in real time. In this sense, a Digital Twin can incorporatemany
of the online threat detection and preventionmeasures discussed above.";CPS;"monitoring, controlling, testing security; cyber-threat prevention and detection, anomaly detection";N/A;CPS;data from CPS;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;analysis, simulation, monitoring;N/A;NO;"The first direction involves the formal description methods for the principal,
as well as for the emerging composable system properties and the exploitation
of automatic executable model transformation and component code generation
methods and tools in order to create security monitor(s) from a distributed system
specification.Then, there is the quest for the consolidation, or even more, the standardization
of basic run-time frameworks, component libraries, and subsystem interfaces that
will ease the deployment of interoperable customized components into generic,
domain-specific solutions and architectural frameworks";Then, there is the quest for the consolidation, or even more, the standardization of basic run-time frameworks, component libraries, and subsystem interfaces that will ease the deployment of interoperable customized components into generic,domain-specific solutions and architectural frameworks. These include the prevalent reference architectures of Industry 4.0 and IIC, and the challenge is enlarged after considering the widening of the Digital Twins deployment alternatives, stemming from the expected evolution of AI capabilities in embedded devices at the edge, in contrast to the typical cloud-based paradigm of today.
Furness2019;MEDIUM;N/A;"A digital twin is a “virtual representation of a physical object or system across
its life?cycle. It uses real?time data and other sources to enable learning, reasoning,
and dynamically recalibrating for improved decision making” (Mikell and
Clark 2018)";"Having access to a digital
“twin” of a CPS would provide the ability to investigate responses of the system to
threats while not taking these systems offline.";CPS;"investigate responses of the system to threats; monitoring; application of security controls, evaluation of vulnerabilities, and understanding of response of a CPS; performing risk assessment";N/A;CPS;real?time data and other sources;DIGITAL_PHYSICAL, DIGITAL_EXPERT;DIGITAL_SHADOW;N/A;N/A;replication, monitoring;N/A;NO;N/A;N/A
Gajek2020;MEDIUM;"Hence, to adequately
manage these risks in the emerging digital world, there is a vital necessity to raise awareness, establish, maintain, and further
develop cyber-security measures to ensure an appropriate level of protection along the entire value chain and supply chain.";"A digital twin is a digital representation of a physical object,
process, or system, and it can exist in many forms. Digital
Twin in the human context is all the data footprint that we
as humans create through our attributes and interactions.
Attributes are core data that make up what we are, including
name, age, gender, address, ethnicity, education, salary, etc.
Interaction refers to all the data and footprint that is created
when we interact with the external world. The term Digital
Twin, therefore, can be loosely applied to any form of digital
representation.";"To manage and control a
USB device, a means of binding the hardware with its digital
twin is required. Once this is achieve, a means of authentication
to confirm that the binding is correct and valid is also
required.";Industry 4.0, Enterprise;prevention of  Stuxnet and related attacks by implementing unclonable Digital Twins and ensure that the blockchain mirrors the Digital Twin.;N/A;"hardware (USB), physical object,
process, or system, and it can exist in many forms";all the data footprint;DIGITAL_PHYSICAL, DIGITAL_TWIN;DIGITAL_TWIN;N/A;N/A;simulation, replication;"Creating a Digital Twin within a Blockchain is not different
from the standard approach. The manufacturer of the
physical object issues a cryptographic identifier. The corresponding
certificate attesting the objects attributes is
stored in the blockchain.";NO;Further research is recommended to demonstrate the technical feasibility of implementation (for USB device management) in a factory environment.;N/A
GamezDiaz2020;MEDIUM;"This article aims to provide a survey on the field of Digital Twin
technology focusing on machine learning and coaching techniques as they have not been explored
yet. We also define what Digital Twin Coaching is and categorize the work done so far in terms of the
objective of the physical activity.";"Digital Twins are defined as “digital replications of living as well as non-living entities that enable
data to be seamlessly transmitted between the physical and virtual worlds” [8].";"The use of the Digital Twin technology can help bring a highly customizable solution to individuals.
Digital Twin (DT) technology enables the collection and analysis of data about the real twin and provides
them with personalized feedback to improve their quality of life and wellbeing [8,9].";smart coaching/Sports;data security;edge, cloud;Player, trainee (athletes);real-time and historical data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;MATLAB, C++, scikit-learn, CAFFE and Kinect Software Development Kit;machine learning, analysis, replication, ;N/A;NO;N/A;N/A
Garcia2020;HIGH;"We present potential approaches for implementing secure embedded intelligence (SEI) and integrated
state awareness (ISA) in advanced nuclear energy (NE) systems.";"A DT is a computational model of a physical SSC. Being a virtual replica of it,
a DT can act like the real SSC and assist in the interpretation of signatures
and patterns, the testing of new settings, the simulation
and analysis of all types of scenarios, and the execution of whatever
may be needed in a virtual environment, knowing that what
it is observed in the DT would also arise in the physical asset (i
SCOOP, 2018).";"Typical applications benefiting from DDR – in ways
that improve reliability, availability, maintainability, safety, and
security (RAMS) and reduce costs and operational risks – include
anomaly detection, diagnostics, and prognostics, root cause analysis,
control, optimization, planning, visualization, commissioning,
and training. DT technology may also assist in remote operation,
maintenance, and repair of nuclear systems as well as provide
feedback and insights for improving designs.";Smart nuclear systems/CPS/ energy industry;Threat detection, intrusion detection;cloud, edge;physical SSC, CPS;sensor data, models;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;replication, analysis, simulation, ML;"A distributed
digital twins (DDT) approach is proposed. To make
them work in cooperation, knowledge databases should be
equipped, not only with episodic memory consisting of a
series of loosely connected parts or events, but also with
advanced representation constructs and contents that can
be accessed and manipulated to support explanations generated
by embedded intelligent agents, including larger-scale
structures for recording states, plans, actions, and execution
traces.";YES;N/A;N/A
Gehrmann2020;HIGH;"In
this paper, we discuss how a digital twin replication model and
corresponding security architecture can be used to allow data
sharing and control of security-critical processes. We identify
design-driving security requirements for digital twin based data
sharing and control.";"Originally, the concept was used to refer to the digital
representation of a product used in simulations software but
has been expanded to a concept where not only a physical
product is represented in virtual form (software) but each
product is directly connected with a virtual counterpart, the
digital twin.";"We tackle this general security issue in this
paper by looking into the digital twin model as an enabler for
enhanced security when opening up IACS low level control
functions and data exchange according to the Industry 4.0
vision. Digital twins and state replication as security enablers
were recently proposed by different researchers";Industry 4.0;penetrations testing, security analysis, monitoring;cloud;products, production process (mentioned in the defintion part), IACS;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;AML,;N/A;replication, analysis, ;"However, the state replication design in [10] is built upon
measurement of input values and that the physical and digital
twin runs functional identical programs or what the authors
refers to as ”passive state replication”.";YES;"Below, we discuss the most important future work:
 Performance: We have here made first proof of concept
of the architecture. In order to see the effect of the architecture on different platform and production scenarios,
more performance evaluations on different platform, with
more complex digital twin state models and with larger
amount of production nodes are needed.
 Intrusion detection: In our security architecture, we
have only show how on principle level how to integrate
intrusion detection at the boarder to the virtual domain. It
is left for future research to design and integrate intrusion
detection in a fully working system.
 Access control: The architecture allows for advanced
access control in the virtual domain. The main advantage
with this approach is that this can be supported without
affecting the production domain at all. It remains
to design and evaluate this approach in a full system
implementation of the architecture.
 Formal security analysis: We have proven the consistency
of the proposed synchronization protocol and
showed that the security of the protocol depends on the
security of the underlying used secure channel. Formal
analysis of the security of the complete system design
and all protocols are left for future work.
 Security analysis services: Apart from IDS and access
control enforcement in the virtual domain, additional
security analysis services may be supported as virtual
components as we showed in our architecture design. This
include services such as virus scan, DoS prevention etc.
The design and evaluation of such services is left to future
research as well.";N/A
Glawe2020;LOW;The CyberFactory#1 project addresses these needs by providing a framework of possible capabilities for resilient FoF environments.;N/A;the digital-twin which simulates the architecture, the anomaly detection to detect failures of the architecture and the reconfiguration/optimization to select new strategies.;Industry;simulates the architecture, the anomaly detection to detect failures of the architecture and the reconfiguration/optimization to select new strategies, testing strategies;N/A;manufacturing-execution-system (transportation system and the robots);real-time data and the historical data;DIGITAL_EXPERT, DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;simulation;TODO;YES;N/A;N/A
Grabis2021;MEDIUM;This paper proposes to ex-tend CDD to address security and resilience concerns in organizational networks. A method extension defining modeling concepts and development procedure is elaborated;N/A;patterns. The method also considers using a data-driven digital twin for continuous exploration and prediction of newly arising threats. The digital twin uses live data to evaluate the current situation and to appraise suitable response mechanisms. In order to explore network behavior depending on contextual changes and adjustments used, its virtual representation or digital twin is used [12]. It uses live data to diagnose potential problems and to plan capability delivery.;Industry (digital service);diagnose security incidents and suggest a suitable resilience response, continuous exploration and prediction of newly arising threats, security analysis,;DIGITAL_PHYSICAL;CAN, aspects of the capability delivery;lice data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;DOE;simulation;The digital twin is based on a model rep-resenting the network. Various types of models including simulation, statistical, and machine learning could be used. The Design-of-experiments (DOE) module is used to specify scenarios to be explored to identify weaknesses and potential threats.;YES;The digital twin component is introduced in the paper. However, the digital twin development process is still highly case specific. Formalization of the digital twin development and exploration processes in an area for future research. It should also be considered in relation to knowledge reuse in the form of patterns as suggested by the CDD methodology.  Integration between tools used in the CDD methodology and digital twin development technologies is also subject to further investigation.;N/A
Guo2020;MEDIUM;"In the paper, we analyze the cyber security risks from
elements of threats and vulnerability that are faced by ICS during the construction phase from the perspective of the business
owner of NPPs.";"DT is a
technology to model assets with all their geometrical data, kinematic functionality and logical behavior using
digital tools, not only to replicate, but to digitize physical objects in virtual space and simulate the behavior
characteristics of physical objects in real environment.";"The three biggest advantages to use DT to construct a
platform for testing and verifying the defense architecture consist in: design phase of ICS, operation, ";Energy industry (Nuclear Power Plants)/ICS;testing defense architecture (Cyber security test platform), cybersecurity analysis;N/A;ICS,;geometrical data, kinematic functionality and logical behavior;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Simualtion, analysis;N/A;NO;"proposes to explore an ICS test platform based on DT technology, which allows us to monitor the running state
of ICS and to verify any security measures before it is deployed in the real environment.
However, this paper also notes that although TC technology has been applied in the power industry, there is no ICS based on TC technology in existing NPPs. It still requires enterprises in the supply chain to dedicate more researches. ";N/A
Hadar2020;HIGH;"This paper presents a cyber
digital twin, based on attack graph analytics, that automatically
gathers and prioritizes security controls requirements at scale over
active networks.";"Digital Twin stands for a software
replica that captures an aspect of a physical system [5]. The
term Digital Twin originated in the world of manufacturing";"It is
used to describe a digital replica of a system in a manner that
allows performing digital simulations. We apply this principle to
the realm of cyber security. ""CYBER DIGITAL TWIN""";Enterprise;"detecting missing security controls; captures and models the aspect of the enterprise’s cybersecurity posture from a hackers’ perspective and
models hackers’ movements";N/A;computer network, SCRs;Analytical Attack Graph (AAG)?;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;AgiHack (Analytical Attack Graph (AAG));Simualtion, analysis;N/A;YES;"In future work we intend to explore further security controls’
interdependence and scaling of massive networks in heterogenous
platforms. Additionally, we intend to expand the landscape
of vulnerabilities and types of attack tactics to domains
such as the Internet of Things (IoT), application security in enterprise
resource planning (ERP) systems, different operational
technology (OT) devices, and embedded systems.";N/A
Hammoudeh2020;MEDIUM;"This key note discussion outlines how to implement blockchain
as a fundamental theory for trustless security for connected CNI";N/A;"A digital twin provides a platform to solve major
IoT related CNI cybersecurity challenges in tomorrow’s secure infrastructure,
energy distribution, smart cities, smart manufacturing
(Industrial IoT and Industry4.0) and autonomous transit systems.";secure infrastructure, energy distribution, smart cities, smart manufacturing and autonomous transit systems;???;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Hau2020;LOW;"A design-centric modeling approach was proposed to model the
behaviour of the physical processes controlled by Industrial Control
Systems (ICS) and study the cascading impact of data-oriented
attacks.";N/A;"This
allows us to build a model that is a ""digital twin"" of the physical CPS
we are modeling with respect to the pre-defined threat capabilities
and goal.";CPS;detect anomalies/attacks, simulation, analyse anomalies/attacks;N/A;CPS;N/A;N/A;N/A;N/A;N/A;simulation;N/A;N/A;"Further work also remains for the water treatment testbed model
to study the improvement in resilience from implementing the recommended
design changes. The current work looks into the cascading
effects of attacks within a system, however, CPSs are usually
not independent systems but are connected systems-of-systems
(i.e. water treatment plant is connected to a water distribution network).
Future research could focus on evaluating cascading effects
of attacks on inter-connected systems.";"Although the modeling approach may work well for a simple CPS
such as SWaT, there might be challenges with modeling more complex
and large scale CPS due to the increased inter-dependencies
of subsystems and non-linear dynamics. This could potentially be
resolved by using composition of smaller models of subsystems
and using linear approximation for the non-linearity in dynamics.
It remains as part of future work for the evaluation of the applicability
of modeling approach on other CPSs (i.e. Electric Power
Grid Systems where generators, switches/breakers and batteries
are analogous to pumps, valves and tanks)."
He2019;MEDIUM;"Given the importance of security in process systems, this paper presents a data-driven digital
twin system for automatic process applications by integrating virtual modeling, process monitoring,
diagnosis, and optimized control into a cooperative architecture";"Digital twins
describe the use of holistic simulations to virtually mirror a physical
system [5]";"Adopting digital twins allows operators to monitor
productions, test deviations in an isolated virtual environment,
and further strengthen the security of process industries [6]. Adopting digital twins allows operators to monitor
productions, test deviations in an isolated virtual environment,
and further strengthen the security of process industries [6].";Industry;monitoring, automatic fault-tolerant control (control performances in system faulty cases), detect and diagnose faults;embedded;actual systems;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;monitoring, analysis;"The design process of digital twin system
is formulated as follows: First, the adaptive closed-loop SIM is
applied to build the data-driven residual generator based on the
virtual system modeling with unknown parameters of plant models; Second, performance indices for abnormal status diagnosis
are developed to enhance the identification performance of the
process monitoring and diagnosis scheme; Finally, corresponding
to different process faults, optimized control configurations are
designed based on the offline adaptive tuning and online iterative
training to improve the security under faulty conditions.";YES;"Concerning the future research, more accurate fault
diagnosis method would be focused, as well as an efficient distributed
digital twin approach should be developed to improve
the practical application performance of systems.";N/A
Karlsson2020;MEDIUM;"This thesis describes the implementation of a Digital Twin tied to Virtual Reality environment that
could, by easy means be expanded to Augmented Reality-solution.";"A Digital Twin is a digital-system that is connected to a physical counterpart that is meant to mimic
reality in greatest possible fashion and is meant to expand upon human-machine interaction. Integration
of IIot (Industrial Internet of Things) is an important factor since it allows extensive, digital, knowledge
about a physical system. Without the sensors that are connected via networking, the DT would not be
effective compared to the real world due to the lack of data.";"Scientific research promotes [3] that digital twins could help prevent disasters by preventing
and testing these problems with digital counterparts, without affecting a real system.";Industry 4.0;testing security, simulation, fault detection;N/A;CPS;real world data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;replication, simulation;N/A;NO;"There is still work to be done when it comes to the pure software to make it as complete as possible,
this has been the second most important part since we wanted to focus on the research first and proof
of concept, which we argue that we have achieved as discussed in Chapter 8 and Chapter 9 . But below
follow some important and interesting steps to further the research and develop the software and by
that achieve an even better and more complete representation compared to our extended definition of a
digital twin.";N/A
Kind2021;LOW;N/A;"These models may be part
of a digital representation of a physical device (so-called Digital
Twin),";"mistake. These models may be part
of a digital representation of a physical device (so-called Digital
Twin), which can be analyzed for anomalies simultaneously with
traditional direct monitoring approaches.";Industry;analyzed for anomalies simultaneously with traditional direct monitoring approaches;N/A;physical device;N/A;N/A;N/A;N/A;N/A;simulation;N/A;N/A;N/A;N/A
Kruger2021;MEDIUM;This paper aims to provide perspectives on past and future Digital Twin research within the SOHOMA context. The paper describes the evolution of the Digital Twin concept over the past decade of SOHOMA workshops and reviews the contributions in terms of functions, architectures and implementation technologies.;A DT instance (DTI) mirrors its physical twin during its entire lifespan. A;"remote monitoring; predic-tive analytics; simulating future behavior; optimization and validation; documentation and communication; and connection of disparate systems";Industry 4.0;fault detection and diagnosis, detect and prevent attacks, monitoring, simulation, Predictive maintenance;cloud;physical assest;historical data;DIGITAL_PHYSICAL;DIGITAL_TWIN, DIGITAL_SHADOW (mentioned diffrent types but mopstley it's about a real DT);mqtt, json, sql;SLADT, DPWS, REST;simulation, replication, analysis;N/A;N/A;The paper recommends that the DT research community continues with a strategy that balances the development of generic architectures and platforms, with context-specific applications, which can simultaneously support research collaboration and industry impact;A key challenge exists in the development of DT software. DTs are globally meant to become middleware interfacing all sorts of applications with the manufacturing system.Further challenges relate to achieving real-world impact through industrial applica-tions of DTs. In addition to a lack of benchmarks and standards, there is currently still a shortage of real-world, industrial case studies and applications.
Krundyshev2020;LOW;"To solve the problems of detecting cyber
threats, it is proposed to use generative adversarial neural networks. Algorithms for learning and testing
a neural network were presented. The results of the experiments have demonstrated that the proposed
solution is highly accurate in detecting cyberattacks.";N/A;"allows creating a digital twin of the enterprise network infrastructure. The developed simulation model
was run many times, each time in a new experiment the location of the nodes, their speed and transmitter
power changed.";Industry;detecting cyberattacks;N/A;enterprise network infrastructure;N/A;N/A;N/A;N/A;N/A;simulation;N/A;N/A;N/A;N/A
KumarKandasamy2021;HIGH;"To overcome these shortcomings, we built a digital power twin for a physical test-bed that is used for cyber security studies on
smart grids. On the developed twin, the users can deploy real world attacks and countermeasures, to test and study its effectiveness";N/A;"Hence, there is a practical need for Digital
Twins (DTs) that can offer sufficient fidelity of the physical system
and emulated virtual network which is equivalent to a physical
test-bed. Such DTs will eliminate the need for expensive
test-beds for non-essential cases and enables the infrastructure
to be available to a wider group of students, researchers and operator
trainees.";CPS/smartgrid;testign attacks, testing system for vulnerabilities, test and patch device exploits, deploy attacks and countermeasures;cloud;"physical micro-grid test-bed; cyber-security test-bed or plant. (ICS plant)";N/A;DIGITAL_PHYSICAL;DIGITAL_SHADOW;mqtt, OPC protocol, mms, goose, mqtt, opc-ua, modbus;SCADA, AMI Meters, Historian, Physical Components and Electrical Connections, PLCs, IEDs and Network Switches, Run-time, IEC61850,Attack Designer and Attack Launcher, GOOSE, SPEEDGOAT;simulation;"The architecture of the DT is shown in Figure. 5. The physical
components in Figure. 1 are simulated on SPEEDGOAT and
the physical signals are transferred using a data-bus to the IEDs/
AMIs which act as the interface between physical and network
components";YES;N/A;N/A
