Key;Relevance;Contribution;RQ1_Definition;RQ2_Benefit;RQ2_Application_Domain;RQ2_Application_Scenario;RQ3_Deployment;RQ3_Asset;RQ3_Data;RQ3_Communication_Flow;RQ3_Level_of_Integration;RQ3_Protocol;RQ3_Tools;RQ3_Operation_Mode;RQ3_Generation;RQ3_Architecture;RQ4_Future_Research;RQ4_Challenges
Empl2021;LOW;this paper conceptualizesa security analytics service used as a security add-onto these reference architectures. Thus, this paper conceptualizes aflexible security analytics service that implements security capabilitieswith flexible analytical techniques that fit specific SMEs needs.;Concerning the security analytics servicessecurity modules a digital twin represents the link from real timedata to feasible simulation or forecast scenarios In this context thedigital twin is therefore regarded as a foresight security module;The sensor cloud collects and aggregates this data to determine the potential security state with security analytics (e.g., via a digital twin).;Smart Manufacturing;security analytics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Simulation, replications, analysis;N/A;NO;In the future, we will work on implementing a prototype of this security analytics service. The design of a specific implementation can be structured in several ways.We recommend a design based on virtual machines, dockerized applications, and specific connectors for a straightforward adoption and application of the capability modules. As we admit in the introduction, data is vital to generate wisdom. By bundling the data sources and types of data (stream vs batch) required to fulfil a particular capability module (e.g., the descriptive module takes batch data), analytical techniques can be instantiated. Thus, each capability module should be represented by one virtual machine. The virtual machines can be interconnected with dedicated bridges to accomplish the dependencies between the capability modules. Each of the virtual machines is running on Docker to establish containerized and modular applications. There are many open-source software and tools for security analytics applications that need to be categorized depending on their functionality, e.g., Suricata is an intrusion detection tool and is, therefore, available in the detective module. In this context, the security analytics repository is considered a collection of dockerized applications. Besides provisioning dockerized applications, the security analytics repositories need to yield connectors for each application to bind multiple applications? sinks and sources. Additionally, machine learning models can be shared across the security analytics repository and integrated into the desired capability module. Those machine learning models might be integrated into the predictive module (stream data) and the descriptive module (batch data). The different analytical techniques can be tagged inside the security analytics repository (e.g. for detective module) and ranked by other users. These mechanisms are resulting in transparency as to which methods are successfully contributing to the cybersecurity;(Besides the contribution, this paper exhibits two limitations. First, we do not specify any access control roles to our security analytics service, as we have only covered a single entity (security expert). Second, we excluded parts of the incident response. As the response opportunities to a detected or predicted threat increase with the complexity of IIoT systems, e.g., with software-defined networks for the ICS, a holistic sketch of interconnections within the archi- tectural module is almost impossible.) 
Empl2022;HIGH;SOAR4IoT framework built on IoT attacks and mitigation strategies. Our framework encompasses IoT assets, middleware, SOAR platform, and security tools.;In general, digital twins can be conceived as middleware. At its core, the digital twin links a virtual representation to a physical asset aiming to mirror the asset along its life cycle with seman- tic technologies ;These operation modes assist security operations. For instance, behavior-based modeling supports more efficient intrusion detection, and the virtual representation of the digital twin is suitable for security training [9]. Moreover, replication-based digital twins indicate security orchestration and incident response features.;Generic;SOAR;Cloud;IoT Device;Real-time data;DIGITAL_PHYSICAL, DIGITAL_EXPERT, DIGITAL_DIGITAL;digital twin;MQTT, Zigbee;Eclipse Ditto;Replication;We implement digital twins representing the mid- dleware of our SOAR4IoT framework. For each IoT asset there is one digital twin. Using the open-source digital twin software Eclipse Ditto 5 allows us to integrate and replicate heterogeneous IoT assets.;YES SOAR4IoT;further Digital twins provide abstraction and a frameworks? unified interface for compare different digital twin abilities the plethora of behavior IoT assets. or The security community should (e.g., advanced process modeling). To the best further compare different digital twin implementation frameworks? abilities of our knowledge, our Eclipse Ditto is the (e.g., advanced behavior or process modeling). the as best first, with security use cases built on top. It can To serve a of our knowledge, our Eclipse Ditto implementation is the stepping stone for sophisticated intrusion detection, threat first, with security use cases built on top. It can serve as a stepping stone for sophisticated intrusion detection, threat notifications, and life cycle analyses./ Thus, research should focus on the great potential of playbooks. We expect benefits of identify- ing additional use cases (e.g., execution of playbooks against a group of IoT assets) and formalizing playbook logic. Future work should assist security analysts from initial (automated) playbook creation based on manufacturers? course of ac- tion recommendations to playbook ? event matching and (prioritized) execution. Therefore, playbooks must consider organizational incident response processes and their under- lying principles.;N/A
Empl2023;HIGH;This paper proposes a concept that uses digital twins for proactive IoT security management. To this end, we implement a proof of concept to demonstrate the practical applicability of this approach for four differ- ent security use cases. Our results provide a starting point for further research to leverage digital twins for IoT security management. ;A digital twin is a virtual representation of a physical asset used for simulation, replication, or analytics ;By creating a digital twin of an IoT network, secu- rity analysts could continuously monitor and regulate the IoT network, detect potential problems before they escalate, and assess the impact of new configurations and updates without risking the physical ones. ;Generic;risk assessment;Cloud;Temperature Sensors, Raspberry Pi;network data;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital twin ;Zigbee, MQTT, HTTP, FTP, SSH;Docker, Zigbee2MQTT, OsQuery, MongoDB, Angular, Python, Flask, Nmap;analysis;User network data to derive the digital twins;YES;NA;Open challenges remain in developing more sophisticated dig- ital twins, ensuring scalability, and enhancing data availability. 
Empl2023a;HIGH;In this paper, we introduce vulnerability playbooks based on open standards. Pushing the envelope of cybersecurity playbooks—steps organizations should follow when responding to cybersecurity incidents reactively—for ICS vulnerability management offers organizations a more transparent, repeatable process and faster, possibly automated actions. We have designed a process model to collect and transform security advi- sories in Common Security Advisory Framework (CSAF) format and generate Collaborative Automated Course of Action Operations (CACAO) playbooks based on listed remediation advice. With a proof of concept, we demonstrate that structured CSAF documents can be seamlessly transformed into CACAO playbooks. For our industrial use case, we must also use unstructured security advice highlighting quality differences (compared to CSAF). Our generated 79 standard conformant CACAO playbooks with 485 identified actions hint at imbalanced advice toward patching. Preferably, vendors should include detailed technical remediation advice, provide APIs, and go beyond patching recommendations in their security advisories. Subscribers should structure their assets and use machine learning to normalize, generate, and prioritize CACAO playbooks. With CSAF and CACAO, we see two open standards for handling vulnerabilities. ;N/A;Structure of assets;Smart Manufacturing;Vulnerability management;cloud;Siemens and Cisco devices;Device data, CPEs, CVEs etc.;DIGITAL_PHYSICAL, DIGITAL_EXPERT, DIGITAL_DIGITAL;digital twin;CACAO, EPSS, CVE, CPE, CSAF, CVRF;MongoDB, Eclipse Ditto;analysis;user created;NO;Future research can focus on further integration of open standards and their various features. While we use match- ing terms to extract workflow actions, artificial intelligence (e.g., large language models) might be able to build techni- cal commands and add conditional workflow logic. Toward automated playbook execution, we also see the necessity to incorporate organization-specific factors as remediation measures could be deliberately kept vague to serve all archi- tectures and systems equally well. Additionally, our work is based on available ICS data. As a result, our vulnerability playbooks are specific to ICS. It is worth investigating vul- nerability playbook generation for IT assets. Future research could also compare more ICS advisories from plenty ven- dors to deepen the discussion on recommendations, but also measure the scalability of our vulnerability playbook gener- ation process in larger environments. Another crucial aspect for future research is to target complex and dynamic doc- umentation requirements in large scale ICS environments. ;We have a few limitations concerning the application and evaluation. Design decisions had to be made in implementing our application following our process model. Therefore, we extended the JSON schema of CACAO and CSAF to a small extent due to the choice of specific technologies. For exam- ple, in the CACAO schema, we had to exclude trailing dollar signs for the data type identifiers to maintain compatibility with MongoDB. In addition, the proposed NLP procedure is inaccurate in terms of contextual understanding, the dis- tinction between nouns and verbs, or sketchy texts. Our NLP implementation cannot accurately pinpoint the relationship between actions and targets. Additionally, we cannot iden- tify the target. In addition, our evaluation has some further limitations. First, it is partway biased due to a large num- ber of security advisories from Siemens ProductCERT and CISA ICS Cert. Hence, we cannot generally argue about the generated playbooks’ quality and completeness across all security advisories. We can only observe that structured data yield better results than unstructured. Second, we have only connected three CERTs as potential sources for secu- rity advisories (limited to the last 150 days) based on our devices. And third, our playbook generation does not retain conditional logic or parallel flows (if existent in security advisories). The current mapping is rigidly sequential. We declare the handling of different versions of security advi- sories out of scope, e.g., those from Siemens ProductCERT. Last, we face limitations regarding the dependence on physi- cal processes, insufficient contextual knowledge, limitations in dealing with hardware modifications, complex configura- tion and documentation requirements, applicability to small environments, and modeling temporary response actions. 
Epiphaniou2023;HIGH;This research focuses on the benefits and challenges of integrating cyber modelling and simulation (M&S) with digital twins and threat source characterisation methodologies towards a cost-effective security and resilience assessment. Using our dedicated DT environment, we show how adversaries can utilise cyber– physical systems as a point of entry to a broader network in a scenario where they are trying to attack a port. ;In that respect, Digital twins as virtual representations of actual systems and processes, may be used to monitor, visualise, and anticipate the states of CPS/IoT under different attack scenarios. ;DT can be used to ensure the sustainability and enhancement of existing processes in Critical National Infrastructure (CNI) which is achieved through advanced data analytic and essential resources to inform better decision-making [ ;Generic;security assessment;cloud;Schneider Electric and RAATEK;N/A;DIGITAL_PHYSICAL, DIGITAL_EXPERT, DIGITAL_DIGITAL;digital twin;CWE, CVSS, CVE, CPE, CAPEC, RISI;Google Functions, IBM’s OpenWhisk, AWS Lambda , Amazon SageMaker, AWS IoT Greengrass Core, AWS and Google Cloud IoT Core;analysis;N/A;YES;Future research in the field of Internet of Things (IoT) and Cyber-Physical Systems (CPS) security should aim to develop a more nuanced understanding of the unique vulnerabilities introduced by the diverse array of devices within these ecosystems. This includes the creation of specialized tools and methodologies designed explicitly for IoT/CPS environments, which can address the complex challenges posed by varying protocol layers, the acquisition and analysis of spatial and temporal data, and the simulation of cyber-physical interactions. Efforts should also focus on enhancing the adaptability of vulnerability assessment frameworks, such as the Common Vulnerability Scoring System (CVSS), to better reflect the specific risks associated with different types of devices in these settings. Additionally, research should explore the standardization of adversarial capabilities and objectives within simulation models to improve the resilience of IoT/CPS against sophisticated threats. Such initiatives require a multidisciplinary approach, integrating insights from cybersecurity, data science, and systems engineering to develop solutions that are both effective and scalable across the diverse IoT/CPS landscape.;The IoT/CPS domain presents several challenges that stem from its inherent diversity and complexity. The wide variety of devices, each with unique functionalities and vulnerabilities, complicates the development of universal security tools and strategies. The presence of legacy and low-level devices, which may not adhere to standard protocols, poses additional difficulties in implementing effective network mapping and vulnerability detection techniques. Furthermore, the process of modeling and analyzing CPS to assess their resilience against cyber threats is hindered by the lack of standardized methods for characterizing target assets and translating security requirements into simulation environments. The evolving nature of threats, combined with the unique combinations of vulnerabilities found in IoT devices, further exacerbates these challenges. Additionally, the reliance on web-based interfaces for many IoT devices introduces vulnerabilities that, while previously addressed in broader internet contexts, resurface in this new domain due to challenges in maintaining up-to-date security measures. Addressing these issues requires innovative approaches that can accommodate the specific needs of IoT/CPS systems, ensuring their security and resilience in the face of an ever-changing threat landscape.
Farnell2021;MEDIUM;This paper proposes a method that further secures a system by focusing on the control and hardware layer of grid-connected devices ;describes how the concept of a Digital Twin consists of multiple levels, where each level is an advancement in model accuracy and features. Any implementation or method that can be defined as one of these levels is considered a Digital Twin. In the topic of cybersecurity for grid-connected devices, Digital Twins are Real-Time simulations of these devices that are used to study their performance during various cyber-attack scenarios. ;N/A;Smart Grid;attack detection,mitigation,real-time evaluation;Embedded;Grid-connected device;N/A;DIGITAL_PHYSICAL;digital twin;N/A;LabVIEW;Detection;N/A;YES;In the future, additional verification and mitigation methods will be developed and integrated into to the proposed cybersecurity framework and architecture. ;N/A
Fournaris2019;HIGH;In this chapter, we explore thevarious CPS cybersecurity threats and discuss how adding security as a parameterat the CPS design phase can provide a well-structured and efficient approach onproviding strong securityCPS foundations.Newtechnologies onCPS security designare presented and emerging security directions are discussed.;Digital Twin (Tao et al 2018)by representing a digital model that accurately mimics its physical counterpart andevolves is continuously updated to reflect changes in the physical world (Maurer2017) becomes fertile ground for detecting deviations between the physical twin andits digital counterpart;This analysis feeds into the relatively modernconcept of a Digital Twin: an online, cyber model of the physical processes takingplace in a CPS, which can be used to simulate outcomes at decision points, or monitorthe operation of a CPS in real time. In this sense, a Digital Twin can incorporatemanyof the online threat detection and preventionmeasures discussed above.;Smart Manufacturing;monitoring,controlling,security testing,threat detection,intrusion detection;N/A;CPS;data from CPS;DIGITAL_PHYSICAL;digital twin;N/A;N/A;analysis, simulation, monitoring;N/A;NO;The first direction involves the formal description methods for the principal, as well as for the emerging composable system properties and the exploitation of automatic executable model transformation and component code generation methods and tools in order to create security monitor(s) from a distributed system specification.Then, there is the quest for the consolidation, or even more, the standardization of basic run-time frameworks, component libraries, and subsystem interfaces that will ease the deployment of interoperable customized components into generic, domain-specific solutions and architectural frameworks;Then, there is the quest for the consolidation, or even more, the standardization of basic run-time frameworks, component libraries, and subsystem interfaces that will ease the deployment of interoperable customized components into generic,domain-specific solutions and architectural frameworks. These include the prevalent reference architectures of Industry 4.0 and IIC, and the challenge is enlarged after considering the widening of the Digital Twins deployment alternatives, stemming from the expected evolution of AI capabilities in embedded devices at the edge, in contrast to the typical cloud-based paradigm of today.
Francia2021a;HIGH;using the conformance of the digital twin to its physical counterpart to enable security testing of Industrial Control Systems for vulnerability assessment and penetration testing. A proof-of- concept system involving a bottle-filling system controlled by a Programmable Logic Controller (PLC) is presented.;There exist many definitions of DTs. These vary by details, which could be simple or elaborate, and by functionality, which consists of stand-alone or fully integrated. The simplest definition would state that DTs are virtual models or emulations that mimic their physical counterparts. Fully integrated DTs are virtual twins that are interacting with their physical twins in both directions. ;The great potential of DTs in enhancing ICS security is expounded by Dietz and Pernul in [4]. The authors argue for addressing the combination of DT data with known IT-OT system vulnerabilities for the detection of weaknesses. Being able to access the DTs while in operation mode, the scheme could possibly detect novel ICS vulnerabilities and attack vectors.;Smart Manufacturing;vulnerability assessment,penetration testing;N/A;bottle filling machine;PLC data;DIGITAL_EXPERT;digital shadow;Modbus TCP/IP, DNMP3, Ethernet/IP;OpenPLC, actual PLC;N/A;The ladder logic implementation of the Bottle Filling System is converted in Structured Text format and loaded into the runtime application to fully realize the virtual twin. ;YES;X Create additional modular and reusable digital twins for various protocols and environments such as those for manufacturing and power grid x Expand the digital twin testbed for more elaborate ICS integrations and security testing and x Automate the process of creating security scenarios for the effective utilization of digital twins in security training and education.;N/A
Franco2022a;HIGH;automotive firmware is transformed into a CDT, which contains automatically extracted, security-relevant information from the firmware. Based on the CDT, we evaluate security requirements through automated analysis and requirements verification using policy enforcement checks and vulnerabilities detection. The evaluation of a CDT is conducted continuously integrating new checks derived from new security requirements and from newly disclosed vulnerabilities. We applied our approach to about 100 automotive firmwares. In average, about 600 publicly disclosed vulnerabilities and 80 unknown weaknesses were detected per firmware in the pre-production phase. Therefore, the use of a CDT enables efficient continuous verification of security requirements.;The Digital Twin (DT) is a concept to digitally rep- resent physical objects to simulate them before they are built or to enable predictive mainte- nance. ? In this article, a CDT is a digital representation of an automotive firmware, which is a class of software stored and executed on Electronic Control Units (ECUs).;Such CDTs provide many advantages with respect to automated security evaluation of automotive firmwares, especially considering that large parts of software are built based on other software libraries and frameworks, which are not available as source code. In the case of automotive Original Equipment Manufacturers (OEMs), this even means most of the software in the ECUs in the cars they build have software on them that they can only evaluate as black boxes.;Mobility;penetration testing;N/A;Car;Car firmware and software;N/A;digital shadow;N/A;N/A;analysis;During the creation of the CDT, all avail- able interfaces, all used software libraries and further information are discovered automatically and added to the model underlying the CDT. If available, software inventories of suppliers are also used. Not only interfaces and employed software libraries are automatically extracted, but a much more comprehensive set of information is extracted and added to the CDT as summarized in Table 1. The creation of the CDT consists of: the firmware extraction, the software composition analysis (SCA) and the licensing analysis. ;YES;In future work, we plan to extend our ap- proach to automatically generate test cases for the CDT based on common cybersecurity require- ments of automotive software. From the software bill of materials, we get a list of libraries used and the deployed versions. We can use this informa- tion to generate fuzz test cases in several ways. The first and most straightforward way would be to use specific protocol fuzzers for libraries that use known protocols. Second, for the open- source libraries, we can retrieve the interfaces and potentially mine input grammars from the repos- itories directly. Third, for commercial libraries, the further control and data flow analyses on the binaries can be used for fuzzing. Fourth, we could build a database of popular libraries, their interfaces and interesting attach surfaces to fuzz corresponding tests.;N/A
Fraser2021;HIGH;In this paper the general susceptibilities of Unmanned Aerial Vehicles (UAVs) against modern-cyber threats are explored and potential solutions proposed. ;N/A;Digital-twin architectures enable development of high-fidelity models for real systems using vast quantities of operational data and expert insights ;Airspace;intrusion detection,anomaly detection;N/A;Unmanned Aerial Vehicles (UAVs) ;historic data;DIGITAL_PHYSICAL;digital twin;N/A;N/A;Detection, Monitoring, Machine Learning;Each digital-twin will contain multiple behaviour and novelty detection models trained on historic flight data from the expected environment. A model is produced for each major sub-system, which represents the expected sub-system behaviour and characteristics under normal flight conditions ;YES;Therefore, further studies into state-of-the-art models for UAV data could prove valuable for future research. Additionally, future work could develop the concepts from this paper into physical prototypes and collections of behaviour models trained from historic flight data. These could be developed into novelty detection models for each sub-system, as performed for the GPS sub-system in this paper. These models could be tested during real flight trials and simulated UAV attacks, and the results used to further validate the proposed system. ;N/A
Furness2019;LOW;N/A;A digital twin is a virtual representation of a physical object or system acrossits life?cycle It uses real?time data and other sources to enable learning reasoningand dynamically recalibrating for improved decision making (Mikell andClark 2018);Having access to a digitaltwin of a CPS would provide the ability to investigate responses of the system tothreats while not taking these systems offline.;Generic;threat response investigation,monitoring,application of security controls,evaluation of vulnerabilities,understanding of responses,risk assessment;N/A;CPS;real?time data and other sources;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital shadow;N/A;N/A;replication, monitoring;N/A;NO;N/A;N/A
Gajek2020;MEDIUM;Hence, to adequatelymanage these risks in the emerging digital world, there is a vital necessity to raise awareness, establish, maintain, and furtherdevelop cyber-security measures to ensure an appropriate level of protection along the entire value chain and supply chain.;A digital twin is a digital representation of a physical objectprocess or system and it can exist in many forms DigitalTwin in the human context is all the data footprint that weas humans create through our attributes and interactionsAttributes are core data that make up what we are includingname age gender address ethnicity education salary etcInteraction refers to all the data and footprint that is createdwhen we interact with the external world The term DigitalTwin therefore can be loosely applied to any form of digitalrepresentation;To manage and control aUSB device, a means of binding the hardware with its digitaltwin is required. Once this is achieve, a means of authenticationto confirm that the binding is correct and valid is alsorequired.;Smart Manufacturing;incident prevention;N/A;hardware (USB), physical object,process, or system, and it can exist in many forms;all the data footprint;DIGITAL_PHYSICAL, DIGITAL_DIGITAL;digital twin;N/A;N/A;simulation, replication;Creating a Digital Twin within a Blockchain is not differentfrom the standard approach. The manufacturer of thephysical object issues a cryptographic identifier. The correspondingcertificate attesting the objects attributes isstored in the blockchain.;NO;Further research is recommended to demonstrate the technical feasibility of implementation (for USB device management) in a factory environment.;N/A
Garcia2020;HIGH;We present potential approaches for implementing secure embedded intelligence (SEI) and integratedstate awareness (ISA) in advanced nuclear energy (NE) systems.;A DT is a computational model of a physical SSC Being a virtual replica of ita DT can act like the real SSC and assist in the interpretation of signaturesand patterns the testing of new settings the simulationand analysis of all types of scenarios and the execution of whatevermay be needed in a virtual environment knowing that whatit is observed in the DT would also arise in the physical asset (iSCOOP 2018);Typical applications benefiting from DDR  in waysthat improve reliability, availability, maintainability, safety, andsecurity (RAMS) and reduce costs and operational risks ? includeanomaly detection, diagnostics, and prognostics, root cause analysis,control, optimization, planning, visualization, commissioning,and training. DT technology may also assist in remote operation,maintenance, and repair of nuclear systems as well as providefeedback and insights for improving designs.;Smart Grid;threat detection,intrusion detection;Cloud, Edge;physical SSC, CPS;sensor data, models;DIGITAL_PHYSICAL;digital twin;N/A;N/A;replication, analysis, simulation, ML;A distributeddigital twins (DDT) approach is proposed. To makethem work in cooperation, knowledge databases should beequipped, not only with episodic memory consisting of aseries of loosely connected parts or events, but also withadvanced representation constructs and contents that canbe accessed and manipulated to support explanations generatedby embedded intelligent agents, including larger-scalestructures for recording states, plans, actions, and executiontraces.;YES;N/A;N/A
Gaurav2023;HIGH;In this research, we offer a DDoS attack detection system for the Industry 5.0 environment that makes use of Digital Twins (DTs) and Machine Learning (ML). Our method takes use of the strengths of DTs to model the production flow virtually, which can then be used to track the system’s behaviour and spot any hiccups. For further analysis of the DTs’ output data in order to spot possible DDoS assaults, we use explicable ML algorithms like the decision tree classifier. ;Digital twins, or digital representations of real assets, are used in Industry 5.0 to model and enhance production processes ;DTs to model the production flow virtually, which can then be used to track the system’s behaviour and spot any hiccups. ;Smart Manufacturing;attack detection;cloud;Cloud;Log files;DIGITAL_EXPERT, DIGITAL_PHYSICAL;digital twin;N/A;Sklearn, Keras,  TensorFlow , Kaggle;analysis;N/A;NO;N/A;N/A
Glawe2020;LOW;The CyberFactory#1 project addresses these needs by providing a framework of possible capabilities for resilient FoF environments.;N/A;the digital-twin which simulates the architecture, the anomaly detection to detect failures of the architecture and the reconfiguration/optimization to select new strategies.;Smart Manufacturing;training,anomaly detection,strategy testing;N/A;manufacturing-execution-system (transportation system and the robots);real-time data and the historical data;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital twin;N/A;N/A;simulation;N/A;YES;N/A;N/A
Grabis2021;MEDIUM;This paper proposes to ex-tend CDD to address security and resilience concerns in organizational networks. A method extension defining modeling concepts and development procedure is elaborated;N/A;patterns. The method also considers using a data-driven digital twin for continuous exploration and prediction of newly arising threats. The digital twin uses live data to evaluate the current situation and to appraise suitable response mechanisms. In order to explore network behavior depending on contextual changes and adjustments used, its virtual representation or digital twin is used [12]. It uses live data to diagnose potential problems and to plan capability delivery.;Enterprise Organization;incident diagnosis,incident response,threat prediction,security analysis;N/A;CAN, aspects of the capability delivery;lice data;DIGITAL_PHYSICAL;digital twin;N/A;DOE;simulation;The digital twin is based on a model rep-resenting the network. Various types of models including simulation, statistical, and machine learning could be used. The Design-of-experiments (DOE) module is used to specify scenarios to be explored to identify weaknesses and potential threats.;YES;The digital twin component is introduced in the paper. However, the digital twin development process is still highly case specific. Formalization of the digital twin development and exploration processes in an area for future research. It should also be considered in relation to knowledge reuse in the form of patterns as suggested by the CDD methodology.  Integration between tools used in the CDD methodology and digital twin development technologies is also subject to further investigation.;N/A
Grasselli2022a;HIGH;Therefore, in this work we are interested in addressing the following key aspects: ? defining a methodology that may enable an easy deploy- ment of different digital twins starting from common tools and methodologies ? supporting this methodology with a platform to automate the orchestration of all components and resources needed for the deployment of the selected digital twin. ? implementing and demonstrating the possibility to control the entire lifecycle of the digital twin. We adopted the ETSI NFV Management and Orchestration (MANO) framework [11] as the methodology to automate the deployment of the digital twin.;N/A;This is a basic concern that makes cyber-security issues crit- ical in any Cyber-Physical System (CPS). The work described in this paper can be applied to any CPS. For the sake of pro- viding concrete examples of its effectiveness, it is focused on implementing a digital twin of a typical network architecture of a manufacturing environment, to perform cyber-security testing, risk assessment and countermeasure validation without interfering with the real plant.;Smart Manufacturing;security testing,risk assessment,countermeasures;Cloud;CPS;N/A;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital twin;Modbus;openstack;replication;Two types of MANO descriptors are used to design the architecture of a digital twin as shown in Figure 3: ? the VNF Descriptor (VNFD) defines the specifications of a VNF (i.e. of a single component of the digital twin in our case), its internal architecture, its external interconnection points and the Virtual Deployment Units (VDUs) to run the VNF on one or more VMs (e.g. the compute, storage, and network resources that must be allocated to the VMs and the images to use) ? the Network Service Descriptor (NSD) is a higher level template that defines the VNFs to be run (recalling the corresponding VNFDs) and the interconnections between them with virtual networks (called Virtual Links in the NFV-MANO terminology). We use this type of template to describe the overall digital twin architecture.;YES;N/A;N/A
Grasselli2023;HIGH;In this paper, we propose an architecture and implementation methodology based on the NFV-MANO approach used in the telco industry to achieve automated deployment and configuration of digital twin instances for modern connected vehicles. The digital twin instance serves as a cyber range to safely experiment with potential attacks and countermeasures tailored for in-vehicle scenarios within a controlled virtualized environment. ;DT, a virtual replica that accurately mimics the behavior of the physical counterpart, to conduct security tests in a virtualized environment as we would in a cyber range. ;N/A;Mobility;security testing, vulnerability assessment, and countermeasures validation ;cloud;Electrical and Electronic (E/E) vehicle architecture ;N/A;DIGITAL_PHYSICAL;digital twin;N/A;OpenStack, VM, ;analysis;The digital twin is modeled starting from two types of descriptors that specify the characteristics of its “building-block” components, providing any information required to instantiate and configure them in the underlying infrastructure (e.g., virtual resources and software images), and how they are interconnected. The virtual components may run on virtual machines (VMs) or containers. ;NO;N/A;N/A
Guittoum2023;HIGH;In this work, we apply Semantic Web and Digital Twin technologies to build a decision-support framework that automati- cally infers the topology of threatening dependencies in IoT systems. We integrate the proposed framework into the in-use Digital Twin platform Thing in the future and demonstrate its effectiveness by in- ferring threatening dependencies in smart home scenarios managed by ground-truth DM solutions, such as Orange’s implementation of the USP Controller and Samsung’s SmartThings Platform. ;;;Generic;decision-support ;cloud;IoT devices, raspberry pi;dependencies;DIGITAL_EXPERT, DIGITAL_PHYSICAL;digital twin;SHACL, SWRL, SPARQL, Open- llet reasoner with OWL API;Orange USP Controller, Samsung SmartThings Platform, Thing in the future ;analysis;N/A;YES;In future work, we plan to evaluate the effectiveness of the pro- posed framework in real-time, using realistic dependencies-related threats benchmarks. Moreover, we intend to leverage the proposed framework to go one step further in managing dependencies-related threats. Especially considering cascading failure, we intend to en- able collaborative and autonomous cascading failure recovery across legacy DM solutions using a cooperative multi-agent system. ;One of the main limitations of our work is that DM actors should manually publish and maintain extraction modalities within our framework. Despite being inspired by the ITU-T Recommendation Y.4459 [10] for information exchange between isolated organiza- tions in the form of digital entities, manual data sharing may impact the coherence of the generated context KGs and the fidelity of the constructed digital twins. An alternative solution is to make use of a multi-agent system [25] where an agent is to be associated with each DM actor. This agent should have proactive capabilities for maintaining the extraction modalities. Another limitation is the use of dedicated scripts to generate RDF triples of the context KG, which adds barriers to integrating DM data sources using new technologies and data models. Alternatives to address this problem could explore the use of RDF Mapping Language (RML) rules [5]. They are based on a fully declarative approach for the KG generation process, which is adaptable to additional data sources [20]. This reduces integration costs. 
Guo2020;MEDIUM;In the paper, we analyze the cyber security risks fromelements of threats and vulnerability that are faced by ICS during the construction phase from the perspective of the businessowner of NPPs.;DT is atechnology to model assets with all their geometrical data kinematic functionality and logical behavior usingdigital tools not only to replicate but to digitize physical objects in virtual space and simulate the behaviorcharacteristics of physical objects in real environment;The three biggest advantages to use DT to construct aplatform for testing and verifying the defense architecture consist in: design phase of ICS, operation, Nuclear Power Plants;Smart Grid;security testing,security analysis;N/A;ICS;geometrical data, kinematic functionality and logical behavior;DIGITAL_PHYSICAL;digital twin;N/A;N/A;Simulation, analysis;N/A;NO;proposes to explore an ICS test platform based on DT technology, which allows us to monitor the running state of ICS and to verify any security measures before it is deployed in the real environment. However, this paper also notes that although TC technology has been applied in the power industry, there is no ICS based on TC technology in existing NPPs. It still requires enterprises in the supply chain to dedicate more researches. ;N/A
Guo2021a;LOW;In this paper, the authors analyze the cyber security risks faced by the physical protection systems and countermeasures, propose the idea of building an cyber security test platform for physical protection systems based on digital twin technology, and explore relevant key technologies, which provides a new perspective for the cyber security protection of physical protection systems in nuclear power plants around the world.;N/A;Furthermore, on the basis of the above analysis, the authors put forward the idea of building an cyber security test platform for PPSs using digital twin technology, thus providing a basic platform for cyber security test, attack path analysis and protection effect test, which can avoid the impact on production environment and save investment cost.;Smart Grid;security testing,attack path analysis and production effect test;N/A;Nuclear power plant systems;N/A;DIGITAL_EXPERT;N/A;N/A;N/A;simulation;use digital tools to model assets and their geometric data, kinematics functions, and logical behaviors. It can not only copy physical objects in virtual space, but also digitize them, and simulate the behavior characteristics of physical objects in the real environment. The digital twin technology realizes the functions of intelligent cognition and iterative optimization for real objects through the interactive integration of multi-dimensional information perception and real objects, intelligent algorithm, and other tools.;NO;N/A;N/A
