Citation_Key,RQ3_Location,RQ3_Assets,RQ3_Data,RQ3_Communication,RQ3_LoI,RQ3_Protocols,RQ3_Tools,RQ3_Operation_Modes,RQ3_Generation,RQ3_Architecture,   
Sundaram2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,monitor,N/A,N/A,   
Tange2020,N/A,physical devices,N/A,N/A,DIGITAL_TWIN,N/A,N/A,simulation,N/A,N/A,   
Tao2019,N/A,N/A,"data from the lifecycle of a physical asset and generate valuable
information through computing",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,replication,N/A,N/A,   
Tauber2018,cloud,a system,"existing information but also an up-to-date
picture of the current status",DIGITAL_PHYSICAL,DIGITAL_SHADOW,N/A,N/A,"monitor, analysis, model",N/A,NO,   
Terziyan2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,   
Trneberg2021,Cloud,"CPS (representation of anything from a component in a
production plant, to a product being assembled/manufactured,
to the entire production system)",N/A,DIGITAL_PHYSICAL,DIGITAL_TWIN,"Protocol Buffers (Protobuf), ",N/A,"Detection, model, analysis",we implement and evaluate a cloud-native DT Proof of concept (PoC) platform.,YES,   
U.Khan2021,"cloud, edge",6G physical system,data generated by IoE devices,"DIGITAL_PHYSICAL, DIGITAL_TWIN",DIGITAL_TWIN,N/A,N/A,"ML, analysis, simulation","the digital twin will use a virtual representation of the 6G physical system
along with communication, computing, security, and privacy
technologies to enable 6G-based IoE applications.",YES,   
Ugarte2020,N/A,CPPS,"real-time data
about the physical system and provide guidance in real-time.",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"simulate, model, ","introduce the digital twin as a DevOps accelerator where it stages a DevOps approach throughout the whole
product life cycle.",NO,   
Veledar2019,"Cloud, edge",smart car,"real-time sensor data measurements and collections, historical data and ML analytics models)",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"simulate, prediction, monitoring, ML, analysis","Digital Twin demands technologies and methods
to be effectively combined e.g. Artificial Intelligence (AI), real-time predictive
analyses, and forecasting algorithms using Big Data derived from the IoT sensors
and historical data.",NO,   
Wu2020,N/A,CPS/CPPS,"physical-to-cyber data exchange and
cyber-to-physical data exchange",DIGITAL_PHYSICAL,DIGITAL_TWIN,"OPC-UA, MQTT, AML",N/A,"simulation, monitoring, prediction",N/A,NO,   
Xinxin2019,N/A,"power plants, ICS","current data, the historical data and events&alarms",DIGITAL_PHYSICAL,N/A,"AML (CAEX), PLCopen XML, COLLADA, OPC UA",Refueling Machine,"simulation, analysis,  ","model the system based on a FS, as it able to selectively abstract key
parts of the functionality of a real world system. AML will be used to model the system with high detail",NO,   
Xu2020ab,"cloud, supercomputer",CPS,sensor data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"Monitoring, Simulation, Detection","we aim to design an advanced detector based on
a Digital Twin",YES,   
Xu2021,N/A,CPS,"historical data and fine-tune it with
real-time data, which simulates the CPS; sensor and actuator values","DIGITAL_PHYSICAL, DIGITAL_TWIN",DIGITAL_TWIN,N/A,"evaluate ATTAIN with three CPS case studies, namely
Secure Water Treatment (SWaT) [7], Water Distribution
(WADI) [8], and Battle Of The Attack Detection Algorithms; Generative Adversarial Network
(GAN)
(BATADAL) (testbeds)","Simulation, Detection, Machine Learing, OTALA algorithm","We use a Generative Adversarial Network
(GAN) to implement the ATTAIN digital twin capability,
which can be trained on labeled historical data and unlabeled
real-time data with the digital twin model’s ground truth label.",YES,   
Zhu2020a,"cloud, supercomputer",CPS,sensor data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"Simulation, Monitoring, Detection, Kalman Filter, Analysis","we design a Chi-square detector, running in a
DT. The DT connects to a group of protected sensing devices, collecting relevant
evidence.",YES,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
,,,,,,,,,,,   
