Citation_Key,G_Relevance,G_Contribution,RQ1_Definition,   
Tauber2018,HIGH,"We have investigated the modelling of such dependencies in use cases related
to transparency as well as to self-adaptability. Based on our experience we propose further
extensions of domains like reliability. This also has the potential to provide legal support to Industry
4.0 use cases when required.","Digital twins are a digital
representation of a real system, with the
history of all changes and developments.",   
Terziyan2021,LOW,"In this paper, we suggest an opposite, bottom-up (computational intelligence) AI approach to
digital immunity and smart vaccination, which can be obtained as a result of adversarial GAN-driven learning.",N/A,   
Trneberg2021,HIGH,"In this paper, we propose and prototype a cloud-native digital twin proof of concept
for evaluating the viability of the concept.","In the Industry 4.0 context, a Digital Twin (DT) can be
a virtual representation of anything from a component in a
production plant, to a product being assembled/manufactured,
to the entire production system.",   
U.Khan2021,LOW,"we present the key design requirements for enabling 6G through
the use of a digital twin. Next, the architectural components
and trends such as edge-based twins, cloud-based-twins, and
edge-cloud-based twins are presented. Furthermore, we provide
a comparative description of various twins. Finally, we outline
and recommend guidelines for several future research directions.","A digital twin is a virtual representation of the elements
and dynamics of a physical system",   
Ugarte2020,LOW,"This paper analyses the use of the digital
twin to enable a DevOps approach of cyber physical production systems
(CPPS) in order to create a fully integrated and automated production
process, enabling continuous improvement.","From the author’s perspective on product
manufacturing, the digital twin is the virtual representation of the physical
asset where both counterparts are connected to each other and are dynamically
updating through the whole product life cycle",   
Veledar2019,MEDIUM,"IoT4CPS, a flagship Austrian project, contributes to improvements in required dependability. This paper considers IoT4CPSs core use case: AD. It demonstrates main concepts of resilient IoT solutions integrated with CPSs, in-
cluding Digital Twin technology that is directly associated with cybersecurity
and privacy capabilities of automotive ecosystem.",The Digital Twin is a virtual counterpart to actual physical devices (entities),   
Wu2020,LOW,The aim of this study is to carry out a systematic literature review (SLR) to analyze the current research activities on CPPSs according to their contributions to the engineering life cycle of such production system.,N/A,   
Xinxin2019,HIGH,"Whereas in this paper, we propose to do a functionality and
cybersecurity analysis based on the digital twin of an ICS (Industrial Control System).","Digital Twin (DT) is a technology to model assets with all their geometrical data, kinematic functionality and logical behaviour using digital tools [Fr18]. All the useful information that relates with the physical system will be virtualized in the DT model.",   
Xu2020ab,HIGH,"This paper considers a stealthy estimation attack, which aims to modify the
state estimation of the CPSs. The intelligent attackers can learn
defense strategies and use clandestine attack strategies to avoid
detection. To address the issue, we design a Chi-square detector
in a Digital Twin (DT), which is an online digital model of the physical system.","a Digital Twin (DT), which is an online digital model of the
physical system.",   
Xu2021,HIGH,"We present a novel approach called Anomaly deTection with digiTAl twIN (ATTAIN), which continuously and
automatically builds a digital twin with live data obtained from a CPS for anomaly detection.","a digital replica of a living or non-living physical entity / a digital twin consists of two parts,
i.e., digital twin model and digital twin capability. The digital
twin model refers to the digital representation of the CPS.",   
Zhu2020a,MEDIUM,"This book presents control and game-theoretic tools to design secure and resilient
cyber-physical systems, including cloud-enabled control systems, 3D printers,
robotic systems, and communication-based train control (CBTC) systems.","A DT could be a virtual prototype of a
CPS, reflecting partial or entire physical processes",   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
,,,,   
