BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
Book Chapter,,Dietz2021a,"Dietz, Marietheres; Englbrecht, Ludwig & Pernul, Günther",Enhancing Industrial Control System Forensics Using Replication-based Digital Twins,,612,,,21--38,2021,,,,Advances in Digital Forensics XVII,,,,"Peterson, Gilbert & Shenoi, Sujeet",,,,,,,,,,,data/pdfs/Dietz2021a.pdf,
Conference Proceedings,,Dietz2022,"Dietz, Marietheres; Hageman, Leon; von Hornung, Constantin & Pernul, Günther",Employing Digital Twins for Security-by-Design System Testing,,,,,97–106,2022,,,,Proceedings of the 2022 ACM Workshop on Secure and Trustworthy Cyber-Physical Systems,,,Sat-CPS '22,,,,,,,,,"Ever since cyber attacks focused on industrial and critical infrastructure settings, the awareness of the security issues of these systems has increased. These industrial control systems (ICS) mainly focus on operation and availability -- instead of providing general security features. Moreover, the current Industry 4.0 movement aggravates this security gap by connecting the ICS to the enterprise network, which facilitates targeting these systems. Proper system testing can reveal the system's vulnerabilities and provide remedies. However, security measures are usually neglected or addressed after an emerging incident only, which results in high costs. To maximize the benefit of system testing, we argue that it should be carried out as early as possible, especially to render systems secure-by-design. In this work, we propose an approach for introducing security-by-design system testing by the application of a digital twin. A digital twin is able to represent a system virtually along its lifecycle. To enable security-by-design, the simulation capability of digital twin is harnessed to create a prospective environment of a planned system. This allows detecting vulnerabilities before they can emerge in the real-world and providing a adequate risk strategy. Our work shows how security-by-design system testing is anchored in the security applications along a system's lifecycle. Next to proposing a security-by-design system testing approach with digital twins, we implement a digital twin representing a pressure vessel, and demonstrate how to carry out each step of our proposed approach. During this proof-of-concept, we identify vulnerabilities and show how an attacker can compromise the system by manipulating values of the pressure vessel with the potential to cause over-pressure, which, in turn, can result in an explosion of the vessel.",,"security-by-design, industrial vulnerabilities, digital twin, system testing",data/pdfs/Dietz2022.pdf,
Conference Proceedings,,Dietz2022abc,"Dietz, Marietheres; Schlette, Daniel & Pernul, Gunther",Harnessing Digital Twin Security Simulations for systematic Cyber Threat Intelligence,,,,jun,,2022,,,,"2022 {IEEE} 46th Annual Computers, Software, and Applications Conference ({COMPSAC})",,,,,{IEEE},,,,,,,,,,,
Conference Proceedings,,Eckhart2018,"Eckhart, Matthias & Ekelhart, Andreas",Towards Security-aware Virtual Environments for Digital Twins,Proceedings of the 4th ACM Workshop on Cyber-Physical System Security -CPSS '18,,,,61--72,2018,,,,"Proceedings of the 4th ACM Workshop on Cyber-Physical System Security, CPSS@AsiaCCS 2018, Incheon, Republic of Korea, June 04-08, 2018",,,CPSS '18,"Gollmann, Dieter & Zhou, Jianying",,,,,,,,"Digital twins open up new possibilities in terms of monitoring, simulating, optimizing and predicting the state of cyber-physical systems (CPSs). Furthermore, we argue that a fully functional, virtual replica of a CPS can also play an important role in securing the system. In this work, we present a framework that allows users to create and execute digital twins, closely matching their physical counterparts. We focus on a novel approach to automatically generate the virtual environment from specification, taking advantage of engineering data exchange formats. From a security perspective, an identical (in terms of the system's specification), simulated environment can be freely explored and tested by security professionals, without risking negative impacts on live systems. Going a step further, security modules on top of the framework support security analysts in monitoring the current state of CPSs. We demonstrate the viability of the framework in a proof of concept, including the automated generation of digital twins and the monitoring of security and safety rules.",,"simulation, cyber-physical systems, industrial control systems, automationml, digital twin, security monitoring",data/pdfs/Eckhart2018 - Towards Security Aware Virtual Environments for Digital Twins.pdf,
Conference Proceedings,,Eckhart2018a,"Eckhart, Matthias & Ekelhart, Andreas",A Specification-based State Replication Approach for Digital Twins,Proceedings of the 2018 Workshop on Cyber-Physical Systems Security and PrivaCy,18,,,36–47,2018,,,,Proceedings of the 2018 Workshop on Cyber-Physical Systems Security and PrivaCy,,,CPS-SPC '18,,,,,,,,,"Digital twins play a key role in realizing the vision of a smart factory. While this concept is often associated with maintenance, optimization, and simulation, digital twins can also be leveraged to enhance the security and safety of cyber-physical systems (CPSs). In particular, digital twins can run in parallel to a CPS, allowing to perform a security and safety analysis during operation without the risk of disrupting live systems. However, replicating states of physical devices within a CPS in functionally equivalent virtual replicas, so that they precisely mirror the internal behavior of their counterparts, is an open research topic. In this paper, we propose a novel state replication approach that first identifies stimuli based on the system's specification and then replicates them in a virtual environment. We believe that replicating states of CPSs is a prerequisite for a multitude of security and safety enhancing features that can be implemented on the basis of digital twins. To demonstrate the feasibility of the specification-based state replication approach, we provide a prototypical implementation and evaluate it in an experimental CPS test bed. The results of this paper show that attacks against CPSs can be successfully detected by leveraging the proposed state replication approach.",,"industrial control systems, digital twin, automationml, cyber-physical systems, state replication, intrusion detection systems",data/pdfs/Eckhart2018a - A Specification Based State Replication Approach for Digital Twins.pdf,
Journal Article,,Eckhart2018ab,"Eckhart, Matthias & Ekelhart, Andreas",Securing Cyber-physical Systems through Digital Twins,Ercim News,115,,,22--23,2018,,,,,,,,,,,,,,,,,,,data/pdfs/Eckhart2018ab - Securing Cyber Physical Systems through Digital Twins.pdf,
Book Chapter,,Eckhart2019,"Eckhart, Matthias & Ekelhart, Andreas",Digital Twins for Cyber-Physical Systems Security: State of the Art and Outlook,,,,,383--412,2019,,,,Security and Quality in Cyber-Physical Systems Engineering,,,,"Biffl, Stefan; Eckhart, Matthias; Lüder, Arndt & Weippl, Edgar",,,,,,,,"Digital twins refer to virtual replicas of physical objects that, inter alia, enable to monitor, visualize, and predict states of cyber-physical systems (CPSs). These capabilities yield efficiency gains and quality improvements in manufacturing processes. In addition, the concept of digital twins can also be leveraged to advance the security of the smart factory. More precisely, this concept can be applied as early as in the design phase by providing engineers the means to spot security flaws in the specification of the CPS. Security testing or intrusion detection are other security-enhancing technical use cases of digital twins that can be realized in systems engineering or during plant operation. In this chapter, we will discuss how digital twins can accompany their physical counterparts throughout the entire lifecycle and thereby strengthen the security of CPSs. The findings of this chapter indicate that the concept of digital twins will open up new paths to secure CPSs. However, efficiently creating, maintaining, and running digital twins still represents a major research challenge, as the overhead costs hinder the adoption of this concept. We believe that these insights are valuable to shape future research in this emerging research area at the intersection of digital twins and information security.",,,data/pdfs/Eckhart2019.pdf,
Journal Article,,Eckhart2019ab,"Eckhart, Matthias; Brenner, Bernhard; Ekelhart, Andreas & Weippl, Edgar R.",Quantitative Security Risk Assessment for Industrial Control Systems: Research Opportunities and Challenges,J. Internet Serv. Inf. Secur.,9,3,,52--73,2019,,,,,,,,,,,,,,,,,,,data/pdfs/Eckhart2019ab - Quantitative Security Risk Assessment for Industrial Control Systems_ Research Opportunities and Challenges.pdf,
Conference Proceedings,,Eckhart2019abcde,"Eckhart, Matthias; Ekelhart, Andreas & Weippl, Edgar",Enhancing Cyber Situational Awareness for Cyber-Physical Systems through Digital Twins,,,,,1222--1225,2019,,,,Proceedings of the 24th {IEEE} International Conference on Emerging Technologies and Factory Automation ({ETFA}),,,,,,,,,,,,,,,data/pdfs/Eckhart2019abcde.pdf,
Conference Proceedings,,Empl2021,"Empl, Philip & Pernul, Günther",A Flexible Security Analytics Service for the Industrial Iot,,,,,23–32,2021,,,,Proceedings of the 2021 ACM Workshop on Secure and Trustworthy Cyber-Physical Systems,,,SAT-CPS '21,,,,,,,,,"In Cloud Computing, the cloud serves as a central data hub for the Industrial Internet of Things' (IIoT) data and is deployed in diverse application fields, e.g., Smart Grid or Smart Manufacturing. Therefore, the aggregated and contextualized data is bundled in a central data hub, bringing tremendous cybersecurity advantages. Given the threat landscape in IIoT systems, especially SMEs (small and medium-sized enterprises) need to be prepared regarding their cybersecurity, react quickly, and strengthen their overall cybersecurity. For instance, with the application of machine learning algorithms, security-related data can be analyzed predictively in order to be able to ward off a potential attack at an early stage. Since modern reference architectures for IIoT systems, such as RAMI 4.0 or IIRA, consider cybersecurity approaches on a high level and SMEs lack financial funds and knowledge, this paper conceptualizes a security analytics service used as a security add-on to these reference architectures. Thus, this paper conceptualizes a flexible security analytics service that implements security capabilities with flexible analytical techniques that fit specific SMEs' needs. The security analytics service is also evaluated with a real-world use case.",,"security analytics, industrial IoT, security as a service",data/pdfs/Empl2021 - A Flexible Security Analytics Service for the Industrial Iot.pdf,
Conference Proceedings,,Empl2022,"Empl, Philip; Schlette, Daniel; Zupfer, Daniel & Pernul, Günther",SOAR4IoT: Securing IoT Assets with Digital Twins,,,,,,2022,,,,"Proceedings of the 17th International Conference on Availability, Reliability and Security",,,ARES '22,,,,,,,,,"As more and more security tools provide organizations with cybersecurity capabilities, security analysts are overwhelmed by security events. Resolving these events is challenging due to extensive manual processes, limited financial resources, and human errors. Security Orchestration, Automation, and Response (SOAR) is an established approach to manage security tools and assets. However, SOAR platforms typically integrate traditional IT systems only. Additional considerations are required to deal with the Internet of Things (IoT), its multiple devices and complex networks. Therefore, we adapt SOAR to IoT. We first aggregate existing research and information on SOAR and SOAR platforms. We envision the SOAR4IoT framework, making IoT assets manageable for SOAR via middleware. We implement a prototypical digital twin-based SOAR application integrating IoT assets and security tools to validate our framework. The experimental setup includes two playbooks coping with Mirai and Sybil attacks. Results show feasibility as our SOAR application enables securing IoT assets with digital twins.",,"SOAR, Digital Twin, Internet of Things, Incident Response, Security Orchestration",data/pdfs/Empl2022.pdf,
Conference Proceedings,,Erol2020,"Erol, Tolga; Mendi, Arif Furkan & Dogan, Dilara",The Digital Twin Revolution in Healthcare,,,,,1--7,2020,,,,2020 4th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT),,,,,,,,,,,,,,,data/pdfs/Erol2020 - The Digital Twin Revolution in Healthcare.pdf,
Conference Proceedings,,Farnell2021,"Farnell, Chris; Soria, Estefano; Jackson, Justin & Mantooth, H. Alan",Cyber Protection of Grid-connected Devices through Embedded Online Security,,,,,1--6,2021,,,,2021 IEEE Design Methodologies Conference (DMC),,,,,,,,,,,,"Cybersecurity research regarding the electric power grid has primarily been focused on protecting the communication layer of grid-connected devices against cyber-attack threats. Although many developed methods have greatly reduced the effects of a cyber-attack on the vulnerabilities of grid-connected devices, discovering new vulnerabilities is inevitable and a constant threat. As a result, the overall reliability and security of network communications with regard to grid-connected devices is a concern. This paper proposes a method that further secures a system by focusing on the control and hardware layer of grid-connected devices. The device’s controller firmware will be validated and authenticated using integrated device emulation resources prior to being activated to control the grid-connected device. This verification process is performed while the controller is online and actively controlling power flows related to the device. Therefore, an attack to the system through a malicious firmware patch would be detected by the online security and rejected while safely maintaining continuous and stable control of the device. This method integrates the concepts of firmware hot-patching, digital twins, and active monitoring into an overall cybersecurity protection system.",,Performance evaluation;Monte Carlo methods;Process control;Focusing;Hardware;Power systems;Reliability;cybersecurity;hot-patching;digital twin;real-time emulation;embedded systems;grid-connected,data/pdfs/Farnell2021 - Cyber Protection of Grid Connected Devices through Embedded Online Security.pdf,
Book Chapter,,Fournaris2019,"Fournaris, Apostolos P.; Komninos, Andreas; Lalos, Aris S.; Kalogeras, Athanasios P.; Koulamas, Christos & Serpanos, Dimitrios",Design and Run-time Aspects of Secure Cyber-physical Systems,,,,,357--382,2019,,,,Security and Quality in Cyber-Physical Systems Engineering,,,,"Biffl, Stefan; Eckhart, Matthias; Lüder, Arndt & Weippl, Edgar",,,,,,,,"Cyber-Physical Systems (CPSs) combine computational and physical components enabling real-world interaction. Digitization, decentralization, and high connectivity, as well as incorporation of various enabling technologies, raise various security issues. These security concerns may affect safety, endangering assets and even human lives. This is especially true for CPS utilization in different sectors of great significance, including manufacturing or critical infrastructures, creating a need for efficiently handling relevant security issues. Including security as part of a software-intensive technical system (i.e., the CPS) that can be distributed and highly resilient highlights the need for appropriate security methodologies to be applied on the CPS from the engineering stage during CPS design. The efficient security-related processes that are implemented at design time have an impact on security monitoring during the CPS operational phase (at run-time). Efficient and accurate security monitoring that follows security-by-design principles can be a potent tool in the hands of the CPS manager for detecting and mitigating cyber threats. Monitoring traffic and activity at the system boundaries, detecting changes to device status and configuration, detecting suspicious activity indicating attacks, detecting unauthorized activity that is suspicious or violates security policies, and timely responding to security incidents and recovering from them are issues that need to be efficiently tackled with by security monitoring. In this chapter, we explore the various CPS cybersecurity threats and discuss how adding security as a parameter at the CPS design phase can provide a well-structured and efficient approach on providing strong security CPS foundations. New technologies on CPS security design are presented and emerging security directions are discussed. Furthermore, in the chapter, the different aspects of security monitoring are presented with a special emphasis on CPSs, discussing the various existing monitoring approaches that are followed in order to detect security issues at run-time. Specific use cases of CPSs in the manufacturing domain and with reference to critical infrastructures are also detailed and security requirements like confidentiality, integrity, and availability are discussed.",,,data/pdfs/Fournaris2019 - Design and Run Time Aspects of Secure Cyber Physical Systems.pdf,
Conference Proceedings,,Francia2021a,"Francia, Guillermo & Hall, Gregory",Digital Twins for Industrial Control Systems Security,,,,,801--805,2021,,,,2021 International Conference on Computational Science and Computational Intelligence (CSCI),,,,,,,,,,,,"The emergence of Digital Twins in Industrial Control Systems has enabled advances in the test and evaluation of those systems in a low-cost and non-disruptive manner. The authors propose leveraging these benefits even farther, using the conformance of the digital twin to its physical counterpart to enable security testing of Industrial Control Systems for vulnerability assessment and penetration testing. A proof-of-concept system involving a bottle-filling system controlled by a Programmable Logic Controller (PLC) is presented.",,Integrated circuits;Scientific computing;Industrial control;Programmable logic devices;Control systems;Digital twins;Security;Digital Twin;Industrial Control Systems (ICS) Security;Cyber Warfare;Manufacturing System Security,,
Journal Article,,Franco2022a,"Franco da Silva, Ana Cristina; Wagner, Stefan; Lazebnik, Eddie & Traitel, Eyal",Using a Cyber Digital Twin for Continuous Automotive Security Requirements Verification,IEEE Software,,,,0--0,2022,,,,,,,,,,,,,,,,"A Digital Twin is a digital representation of a physical object used to simulate it before it is built or to predict failures after its deployment. In this article, we introduce our approach, which applies the concept of a Cyber Digital Twin (CDT) to automotive software for security analysis. In our approach, automotive firmware is transformed into a CDT, which contains security-relevant information automatically extracted from the firmware. Based on the CDT, we evaluate detected vulnerabilities and security requirements through automated analysis and policy enforcement checks. The CDT evaluation is conducted continuously integrating new checks derived from new security requirements and newly disclosed vulnerabilities. We applied our approach to about 100 automotive firmwares. In average, about 600 publicly disclosed vulnerabilities and 80 unknown weaknesses were detected per firmware in the pre-production phase. Therefore, the use of a CDT enables efficient continuous verification of security requirements.",,Microprogramming;Security;Software;Automotive engineering;Digital twin;Codes;Testing,data/pdfs/Franco2022a.pdf,
Conference Proceedings,,Fraser2021,"Fraser, Benjamin; Al-Rubaye, Saba; Aslam, Sohaib & Tsourdos, Antonios",Enhancing the Security of Unmanned Aerial Systems Using Digital-twin Technology and Intrusion Detection,,,,,1--10,2021,,,,2021 IEEE/AIAA 40th Digital Avionics Systems Conference (DASC),,,,,,,,,,,,"In this paper the general susceptibilities of Unmanned Aerial Vehicles (UAVs) against modern-cyber threats are explored and potential solutions proposed. This is achieved by applying digital-twin architectures and data-driven methods to UAVs to facilitate identification of real-time intrusions and anomalies. These concepts are validated by performing novelty detection on open access UAV flight data with GPS spoofing attacks, which represents a typical system use-case. Multiple machine learning models are trained to demonstrate the feasibility of detecting modern cyber-intrusions and anomalies using the digital-twin architecture. This includes both classical and deep learning techniques to help identify the most suitable model types for the proposed design. The overall results are positive and help highlight the potential of digital-twin architectures for the UAV contexts.",,Adaptation models;Analytical models;Prototypes;Unmanned aerial vehicles;Data models;Real-time systems;Security;Digital-twin;Machine Learning;Novelty Detection;UAV;UAS;Intrusion Detection;Cyber-security,data/pdfs/Fraser2021 - Enhancing the Security of Unmanned Aerial Systems Using Digital Twin Technology and Intrusion Detection.pdf,
Book Chapter,,Furness2019,"Furness, Zach",Perspectives on Securing Cyber Physical Systems,,,,,287--299,2019,,,,Complexity Challenges in Cyber Physical Systems,,,,,,,,,,,,"Summary Cyber Physical Systems (CPS) are gaining use within multiple industry sectors including health, energy, and transportation. While these systems afford greater functionality, they also create a heightened security risk due to their network-enabled capabilities, their reliance on software, and their direct interaction with physical systems. This chapter will provide a user perspective on the challenges in securing these systems, based on known vulnerabilities and attacks against CPS. It will also outline challenges and opportunities for the use of modeling and simulation in supporting improved security systems engineering of these systems.",,"cyber physical systems, Internet of Things, modeling technology, security vulnerability, simulation technology",data/pdfs/Furness2019 - Perspectives on Securing Cyber Physical Systems.pdf,
Journal Article,,Gajek2020,"Gajek, Sebastian; Lees, Michael & Jansen, Christoph",Iiot and Cyber-resilience,AI \& SOCIETY,36,3,,725--735,2020,,,,,,,,,,,,,,,,"Contemporary business (including those with integrated AI capabilities) often encompasses or aspires towards the automated, networked production of industrial goods across transnational supply chains that have many digitalized interfaces. This allows competitive operations in time, costs, and quality, which have been widely discussed. On the downside, it entails cyber threats with significant risks for society in areas including business, environment, and health. Hence, to adequately manage these risks in the emerging digital world, there is a vital necessity to raise awareness, establish, maintain, and further develop cyber-security measures to ensure an appropriate level of protection along the entire value chain and supply chain. Blockchain capabilities are introduced to improve the technical and organizational basis for secured operations in industrial networks. Its advantages are explained by a simple USB-device use case, that has often been the root cause to subsequent security incidents, especially in the Stuxnet incident.",,,data/pdfs/Gajek2020 - Iiot and Cyber Resilience.pdf,
Journal Article,,GamezDiaz2020,"GAmez Díaz, Rogelio; Yu, Qingtian; Ding, Yezhe; Laamarti, Fedwa & El Saddik, Abdulmotaleb",Digital Twin Coaching for Physical Activities: A Survey,Sensors,20,20,,5936,2020,,,,,,,,,,,,,,,,"Digital Twin technology has been rising in popularity thanks to the popularity of machine learning in the last decade. As the life expectancy of people around the world is increasing, so is the focus on physical activity to remain healthy especially in the current times where people are staying sedentary while in quarantine. This article aims to provide a survey on the field of Digital Twin technology focusing on machine learning and coaching techniques as they have not been explored yet. We also define what Digital Twin Coaching is and categorize the work done so far in terms of the objective of the physical activity. We also list common Digital Twin Coaching characteristics found in the articles reviewed in terms of concepts such as interactivity, privacy and security and also detail future perspectives in multimodal interaction and standardization, to name a few, that can guide researchers if they choose to work in this field. Finally, we provide a diagram for the Digital Twin Ecosystem showing the interaction between relevant entities and the information flow as well as an idealization of an ideal Digital Twin Ecosystem for team sports' athlete tracking.",,,data/pdfs/GamezDiaz2020 - Digital Twin Coaching for Physical Activities_ a Survey.pdf,
Journal Article,,Garcia2020,"Garcia, Humberto E.; Aumeier, Steven E.; Al-Rashdan, Ahmad Y. & Rolston, Bri L.",Secure Embedded Intelligence in Nuclear Systems: Framework and Methods,Annals of Nuclear Energy,140,,,107261,2020,,,,,,,,,,,,,,,,"We present potential approaches for implementing secure embedded intelligence (SEI) and integrated state awareness (ISA) in advanced nuclear energy (NE) systems. A framework for deliberate design and operations of such systems is provided, and potential risks, challenges and impacts discussed. Activities that should be carried out in research, development, and demonstration (RD&D) opportunities are identified. Resulting implications for operation of ‘smart nuclear systems’, including remote operations, flexible operations, predictive maintenance, inherent digital security, and autonomous controls, are discussed.",,"Secure embedded intelligence, Integrated state awareness, Smart nuclear systems, Intelligent controls, Integrated testing, Digital twins, Cyber-physical systems, Cyber-physical security and resiliency, Hybrid threats",data/pdfs/Garcia2020 - Secure Embedded Intelligence in Nuclear Systems_ Framework and Methods.pdf,
Journal Article,,Gehrmann2020,"Gehrmann, Christian & Gunnarsson, Martin",A Digital Twin Based Industrial Automation and Control System Security Architecture,IEEE Trans. Ind. Informatics,16,1,,669--680,2020,,,,,,,,,,,,,,,,"The digital twin is a rather new industrial control and automation systems concept. While the approach so far has gained interest mainly due to capabilities to make advanced simulations and optimizations, recently the possibilities for enhanced security have got attention within the research community. In this article, we discuss how a digital twin replication model and corresponding security architecture can be used to allow data sharing and control of security-critical processes. We identify design-driving security requirements for digital twin based data sharing and control. We show that the proposed state synchronization design meets the expected digital twin synchronization requirements and give a high-level design and evaluation of other security components of the architecture. We also make performance evaluations of a proof of concept for protected software upgrade using the proposed digital twin design. Our new security framework provides a foundation for future research work in this promising new area.",,,data/pdfs/Gehrmann2020 - A Digital Twin Based Industrial Automation and Control System Security Architecture.pdf,
Journal Article,,Glawe2020,"Glawe, M.; Feeken, L.; Wudka, B.; Kao, C.-Y.; Mirzaei, E.; Weinhold, T. & Szanto, A.",Towards Resilient Factories of Future – Defining Required Capabilities for a Resilient Factory of Future,,,,,755--768,2020,,,,,,,,,,,,,,,,,,,data/pdfs/Glawe2020 - Towards Resilient Factories of Future – Defining Required Capabilities for a Resilient Factory of Future.pdf,
Book Chapter,,Grabis2021,"Grabis, Janis; Stirna, Janis & Zdravkovic, Jelena",A Capability Based Method for Development of Resilient Digital Services,,417,,,498--516,2021,,,,Enterprise Information Systems,,,,"Filipe, Joaquim; Śmiałek, Michał; Brodsky, Alexander & Hammoudi, Slimane",,,,,,,,"Capability Driven Development (CDD) is a capability-based method for developing context-aware and adaptive systems. This paper proposes to extend CDD to address security and resilience concerns in organizational networks. A method extension defining modeling concepts and development procedure is elaborated. It includes development of a data-driven digital twin, which represents the security and resilience concerns of the network and is used to diagnose security incidents and to formulate a resilient response to these incidents. Application of the proposed method extension is illustrated using examples of secure computer network governance and secure supplier onboarding.",,,data/pdfs/Grabis2021 - A Capability Based Method for Development of Resilient Digital Services.pdf,
Conference Proceedings,,Grasselli2022a,"Grasselli, Chiara; Melis, Andrea; Rinieri, Lorenzo; Berardi, Davide; Gori, Giacomo & Sadi, Amir Al",An Industrial Network Digital Twin for enhanced security of Cyber-Physical Systems,,,,,1--7,2022,,,,"2022 International Symposium on Networks, Computers and Communications (ISNCC)",,,,,,,,,,,,"In this manuscript we describe the implementation of a digital twin for industrial networks. The aim is to provide a playground for cyber-security analysis and validation without the risk of interfering to any extent with the real cyber-physical system and its environment. The proposed implementation methodology provides a very high degree of automation, following the telecom-oriented NFV-MANO approach, and shows that different network topologies may be activated in a matter of just a few minutes. Each topology may then be used as a sort of cyber-range for the experimentation of possible attacks and validation of related countermeasures.",,Industries;Computers;Automation;Network topology;Digital twins;Topology;Telecommunications;Industry 4.0;Digital Twin;Cyber security;Cyber range Cyber-Physical Systems.,,
Conference Proceedings,,Guo2020,"Guo, Yun; Lou, Xinxin; Bajramovic, Edita & Waedt, Karl",Cybersecurity Risk Analysis and Technical Defense Architecture: Research of Ics in Nuclear Power Plant Construction Stage,,,,,,2020,,,,Proceedings of the 3rd IAEA International Conference on Nuclear Security: Sustaining and Strengthening Efforts (ICONS 2020)(to appear),,,,,,,,,,,,,,,data/pdfs/Guo2020 - Cybersecurity Risk Analysis and Technical Defense Architecture_ Research of Ics in Nuclear Power Plant Construction Stage.pdf,
Conference Proceedings,,Guo2021a,"Guo, Yun; Yan, Aijun & Wang, Junjie",Cyber Security Risk Analysis of Physical Protection Systems of Nuclear Power Plants and Research on the Cyber Security Test Platform Using Digital Twin Technology,,,,,1889--1892,2021,,,,2021 International Conference on Power System Technology (POWERCON),,,,,,,,,,,,"As an important barrier to prevent adversaries from destroying nuclear facilities or transferring nuclear materials, the cyber security of physical protection systems in nuclear power plants are receiving increasing attention under the current digital, networked and intelligent development trend in the world. In this paper, the authors analyze the cyber security risks faced by the physical protection systems and countermeasures, propose the idea of building an cyber security test platform for physical protection systems based on digital twin technology, and explore relevant key technologies, which provides a new perspective for the cyber security protection of physical protection systems in nuclear power plants around the world.",,Training;Digital twin;Terrorism;Maintenance engineering;Market research;Power systems;Personnel;nuclear power plant;physical protection system;cyber security;digital twin;cyber security test platform,,
Journal Article,,Guo2022,"Guo, Jiajie; Bilal, Muhammad; Qiu, Yuying; Qian, Cheng; Xu, Xiaolong & Raymond Choo, Kim-Kwang","Survey on digital twins for Internet of Vehicles: Fundamentals, challenges, and opportunities",Digital Communications and Networks,,,,,2022,,,,,,,,,,,,,,,,"As autonomous vehicles and the other supporting infrastructure (e.g., smart cities and intelligent transportation systems) become more commonplace, the Internet of Vehicles (IoV) is getting increasingly prevalent. There have been attempts to utilize Digital Twins (DTs) to facilitate the design, evaluation, and deployment of IoV-based systems, for example by supporting high-fidelity modeling, real-time monitoring, and advanced predictive capabilities. However, the literature review undertaken in this paper suggests that integrating DTs into IoV-based system design and deployment remains an understudied topic. In addition, this paper explains how DTs can benefit IoV system designers and implementers, as well as describes several challenges and opportunities for future researchers.",,"Internet of vehicles, Digital twin, Simulation, Traffic systems",,
Misc,,Gupta2021b,"Gupta, Deepti; Kayode, Olumide; Bhatt, Smriti; Gupta, Maanak & Tosun, Ali Saman",Hierarchical Federated Learning Based Anomaly Detection Using Digital Twins for Smart Healthcare,,,,,,2021,,,,,,,,,,,,,,,,,,,data/pdfs/Gupta2021b - Hierarchical Federated Learning Based Anomaly Detection Using Digital Twins for Smart Healthcare.pdf,
Conference Proceedings,,Hadar2020,"Hadar, Ethan; Kravchenko, Dmitry & Basovskiy, Alexander",Cyber Digital Twin Simulator for Automatic Gathering and Prioritization of Security Controls’ Requirements,,,,,250--259,2020,,,,2020 IEEE 28th International Requirements Engineering Conference (RE),,,,"Breaux, Travis D.; Zisman, Andrea; Fricker, Samuel & Glinz, Martin",,,,,,,,"The scale and complexity of cyber threats in digital enterprises hamper operators' ability to gather, prioritize and rationalize which security controls requirements should be handled first to achieve rapid risk reduction. This paper presents a cyber digital twin, based on attack graph analytics, that automatically gathers and prioritizes security controls requirements at scale over active networks. The first-of-a-kind twin collects information about the computer network, associates it with attack tactics, measures the efficiency of implemented security controls requirements and automatically detects missing security controls. The twin also evaluates a cyber risk value using the attack graph and proposes prioritization of the detected requirements to rapidly reduce risk within existing system constraints. The cyber digital twin simulator offers several new risk reduction methods for automatically selecting security controls requirements. The necessary data for constructing a contextual cyber digital twin is defined, including the relationship between security controls and attack tactics. The paper illustrates the calculations used for ranking security controls' risk impact, the algorithm for security controls' requirements prioritization, and finally demonstrates successful results using a field experiment conducted via an active network.",,,data/pdfs/Hadar2020 - Cyber Digital Twin Simulator for Automatic Gathering and Prioritization of Security Controls’ Requirements.pdf,
Conference Proceedings,,Hammoudeh2020,"Hammoudeh, Mohammad","Blockchain, Internet of Things and Digital Twins in Trustless Security of Critical National Infrastructure",,,,,43:01:00,2020,,,,The 4th International Conference on Future Networks and Distributed Systems (ICFNDS),,,ICFNDS '20,,,,,,,,,"The advent of communication technologies and smart storage gave rise to the concept of smart cities. One of the key enabling technologies of smart living is the Internet of Things (IoT). In recent years, IoT has developed into many areas of application including critical national infrastructure (CNI) such as transport, hospitals and power distribution grid. The proliferation in IoT applications raised many serious security and privacy concerns to citizens, businesses and governments. CNI systems depend heavily on IoT devices and Cyber Physical Systems (CPS) to perform autonomous actions or inform human decision makers through the exchange and processing of data. Recently, blockchain has been advocated as a solution for secure data storage and sharing. Blockchain cryptographically offers a secure platform for maintaining a decentralised, append-only, publicly verifiable and immutable data structure, which is timestamped and sequentially ordered by its reference to previous block hashes. The immutability and security of blockchain can improve the CNI protection. Two specific smart CNI enabling technologies that would highly benefit from blockchain are IoT and CPS. Digital twins are virtual replica&nbsp;of the&nbsp;network and&nbsp;logic layer of&nbsp;physical system. A digital twin provides a platform to solve major IoT related CNI cybersecurity challenges in tomorrow’s secure infrastructure, energy distribution, smart cities, smart manufacturing (Industrial IoT and Industry4.0) and autonomous transit systems. This key note discussion outlines how to implement blockchain as a fundamental theory for trustless security for connected CNI. It will investigate technologies which can be utilised to achieve a trustless matrix such as blockchain and peer-distributed security systems, for instance onion-routing, with the wider aim of defining trustless security further. The research also considers the feasibility of trustless IoT security systems and their application in CNI. It investigate the present state-of-the-art in cybersecurity as it relates to trustless security technologies and blockchain and what is the present state of the art of cybersecurity in IoT-enabled CNI systems.",,"digital twin, internet of things, blockchain, zero trust security","data/pdfs/Hammoudeh2020 - Blockchain, Internet of Things and Digital Twins in Trustless Security of Critical National Infrastructure.pdf",
